epoch:	train_RMSD:	train_MAE:
4	3.9019	2.848
0	7.0257	6.1157
5	3.749	2.8109
1	6.44	5.4419
6	3.6326	2.8046
2	4.6517	3.3953
3	4.1168	2.9531
7	3.5493	2.815
4	3.9019	2.848
8	3.5008	2.8338
5	3.749	2.8109
9	3.4804	2.853
6	3.6326	2.8046
7	3.5493	2.815
10	3.4741	2.8686
8	3.5008	2.8338
11	3.4732	2.8786
9	3.4804	2.853
12	3.4733	2.8828
10	3.4741	2.8686
13	3.4734	2.8837
11	3.4732	2.8786
12	3.4733	2.8827
14	3.4733	2.8829
13	3.4735	2.8847
15	3.4732	2.8808
14	3.4734	2.8838
16	3.4732	2.8807
15	3.4732	2.8818
17	3.4731	2.8792
16	3.4732	2.8799
18	3.4732	2.8801
17	3.4731	2.8775
19	3.4732	2.8818
18	3.4731	2.8801
19	3.4733	2.8835
20	3.4733	2.883
20	3.4733	2.883
21	3.4731	2.8807
21	3.4731	2.8801
22	3.473	2.8804
22	3.4729	2.8802
23	3.4727	2.879
23	3.4727	2.8791
24	3.4725	2.8806
24	3.4725	2.8807
25	3.4722	2.8799
25	3.4722	2.8799
26	3.4719	2.8805
26	3.4719	2.8806
27	3.4713	2.8781
27	3.4713	2.8782
28	3.4708	2.8775
28	3.4708	2.8775
29	3.47	2.8778
29	3.47	2.878
30	3.4685	2.8746
31	3.4659	2.8721
30	3.4685	2.8746
32	3.4617	2.8667
31	3.466	2.8728
33	3.4555	2.8601
32	3.4618	2.8671
34	3.4463	2.852
33	3.4557	2.8603
35	3.4338	2.8406
34	3.4464	2.8515
36	3.4138	2.8187
35	3.4334	2.8408
37	3.3831	2.7775
36	3.4128	2.8149
38	3.3175	2.699
37	3.381	2.7816
39	3.2138	2.5637
40	3.0258	2.2989
38	3.3209	2.7062
41	2.8269	2.0034
39	3.2248	2.5817
42	2.6718	1.8263
40	3.0673	2.3693
43	2.5858	1.7271
41	2.8759	2.0986
44	2.5399	1.6839
45	2.5057	1.646
42	2.7248	1.9011
46	2.4887	1.6326
43	2.6172	1.7635
47	2.4604	1.6178
44	2.5575	1.7031
48	2.4279	1.5858
45	2.5166	1.6606
49	2.3916	1.56
46	2.4983	1.6412
50	2.3781	1.5538
47	2.4781	1.6195
51	2.3597	1.5424
52	2.3469	1.5322
48	2.4512	1.6057
53	2.3436	1.5305
49	2.4134	1.5797
54	2.3087	1.5004
50	2.3838	1.554
55	2.2947	1.4821
51	2.3723	1.5482
56	2.2876	1.4802
52	2.3585	1.5365
57	2.2763	1.4631
53	2.3542	1.5339
58	2.2659	1.4554
59	2.256	1.4515
54	2.3346	1.5253
60	2.2523	1.4521
55	2.3155	1.4978
61	2.2328	1.4247
56	2.2977	1.4886
62	2.2249	1.4112
57	2.2899	1.4778
63	2.2153	1.4067
58	2.2771	1.465
64	2.2283	1.4238
65	2.2076	1.4061
59	2.2689	1.4643
60	2.2637	1.4602
66	2.1828	1.3943
61	2.2487	1.4397
67	2.1499	1.3566
62	2.2393	1.4297
68	2.1084	1.3384
63	2.2286	1.4216
69	2.11	1.3423
70	2.0439	1.3011
64	2.2194	1.408
71	2.0572	1.305
65	2.2217	1.4189
72	1.9893	1.2553
66	2.1998	1.3947
73	1.9762	1.2629
67	2.1833	1.3789
74	1.9536	1.2402
68	2.1943	1.4121
75	1.9304	1.2183
69	2.1484	1.3618
76	1.9008	1.1896
70	2.1097	1.3398
77	1.9092	1.2159
78	1.8977	1.2065
71	2.0749	1.3149
79	1.9425	1.2661
72	2.082	1.3577
80	1.8479	1.1552
73	2.0219	1.3019
81	1.8266	1.1403
74	2.0317	1.3204
82	1.864	1.2032
83	1.7971	1.1242
75	1.9781	1.2642
84	1.7949	1.1229
76	1.9341	1.216
85	1.7831	1.1144
77	1.917	1.2005
86	1.7554	1.0955
87	1.7418	1.0877
78	1.8954	1.1864
88	1.7315	1.0878
79	1.9717	1.2891
89	1.7204	1.0803
80	1.8618	1.164
90	1.724	1.0782
81	1.8427	1.1523
91	1.7076	1.0696
82	1.8942	1.2298
92	1.8005	1.1584
83	1.8096	1.1334
93	1.698	1.0692
94	1.6845	1.0545
84	1.7958	1.118
95	1.6768	1.0509
85	1.7782	1.1105
96	1.6649	1.0425
86	1.7561	1.0954
97	1.6832	1.074
87	1.7494	1.0915
98	1.7562	1.1544
88	1.7394	1.0911
99	1.6583	1.0429
89	1.7296	1.0891
100	1.6438	1.0264
90	1.7134	1.0685
101	1.6334	1.016
91	1.7334	1.1009
102	1.6219	1.0117
92	1.7771	1.1531
103	1.6193	1.0139
93	1.7276	1.1086
104	1.6097	1.0019
94	1.6788	1.048
105	1.6174	1.0161
95	1.6807	1.0555
106	1.6578	1.0679
96	1.6651	1.0437
107	1.6096	1.0192
108	1.6083	1.0175
97	1.7154	1.1054
109	1.5956	0.9947
98	1.7123	1.1114
110	1.6165	1.0147
99	1.655	1.0344
111	1.5736	0.9759
100	1.6649	1.0329
112	1.5777	0.9808
101	1.6437	1.018
113	1.5721	0.9773
102	1.6283	1.0092
114	1.5648	0.9732
115	1.6022	1.0031
103	1.6136	1.0034
116	1.5625	0.9755
104	1.6093	0.9988
117	1.5747	0.9889
105	1.5999	0.9914
118	1.5371	0.9576
106	1.6198	1.0267
119	1.5326	0.9557
107	1.5902	0.9909
120	1.5394	0.9652
108	1.5903	0.9984
121	1.5328	0.9623
122	1.5345	0.959
109	1.5803	0.9761
123	1.5171	0.9395
110	1.5958	0.9907
111	1.5637	0.963
124	1.5151	0.95
125	1.5045	0.9346
112	1.5553	0.9537
126	1.5776	1.0262
113	1.5692	0.9644
