epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	5.6871	4.5019	5.72	4.4638	5.7131	4.5257
1	4.4515	3.4131	4.4627	3.2877	4.7385	3.5269
2	4.1572	3.2884	4.1913	3.1738	4.3557	3.371
3	3.8191	2.9001	3.8767	2.8175	3.8833	2.92
4	3.5629	2.9552	3.6515	2.8691	3.6163	2.96
5	3.4988	2.8861	3.6107	2.8488	3.5222	2.8705
6	3.487	2.8866	3.598	2.8532	3.505	2.8685
7	3.4774	2.9111	3.58	2.864	3.5011	2.8983
8	3.4706	2.8611	3.5741	2.82	3.4852	2.8425
9	3.4526	2.8625	3.5545	2.8197	3.464	2.8412
10	3.4358	2.8335	3.5373	2.7925	3.4453	2.8126
11	3.3889	2.8189	3.4881	2.7709	3.4004	2.8012
12	3.3825	2.6901	3.4886	2.6484	3.3972	2.691
13	3.2657	2.5966	3.3676	2.5464	3.2842	2.5997
14	3.2126	2.5679	3.3088	2.5166	3.2379	2.5721
15	3.1697	2.4517	3.2705	2.4078	3.1888	2.4679
16	3.0227	2.3313	3.1253	2.2932	3.0465	2.3441
17	2.9638	2.2981	3.0627	2.2616	3.0086	2.3168
18	2.8441	2.0007	2.9758	1.9774	2.8735	2.0257
19	2.8283	1.9537	2.9701	1.9261	2.8538	1.97
20	2.6196	1.7734	2.7619	1.7515	2.6393	1.7951
21	2.5386	1.7088	2.6758	1.6761	2.561	1.7301
22	2.5309	1.7217	2.6634	1.6818	2.5412	1.7291
23	2.4768	1.6552	2.6065	1.6222	2.4923	1.6716
24	2.4373	1.6142	2.571	1.5845	2.4381	1.6272
25	2.4132	1.5888	2.5456	1.5601	2.4073	1.5983
26	2.4308	1.6107	2.5544	1.5796	2.4187	1.6102
27	2.3968	1.5708	2.5229	1.5417	2.3777	1.5672
28	2.3435	1.5297	2.4743	1.5062	2.331	1.5274
29	2.3871	1.5912	2.5199	1.5724	2.3758	1.5852
30	2.3836	1.593	2.5176	1.5783	2.372	1.5881
31	2.3352	1.5545	2.467	1.5305	2.3212	1.5443
32	2.2838	1.4877	2.4121	1.4603	2.2664	1.4811
33	2.2648	1.4636	2.3976	1.4412	2.2413	1.4551
34	2.2313	1.459	2.376	1.4358	2.2134	1.4457
