epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	6.2999	5.6691	6.4547	5.8522	6.4243	5.8014
1	4.4906	3.6911	4.6325	3.8569	4.5703	3.79
2	4.3854	3.5019	4.352	3.4478	4.2814	3.452
3	3.4819	2.782	3.556	2.8567	3.4896	2.8143
4	3.2447	2.6156	3.3114	2.6816	3.2456	2.6616
5	3.0721	2.48	3.0935	2.4856	3.0158	2.4827
6	3.0418	2.4891	3.081	2.5027	2.994	2.498
7	2.9984	2.4457	3.0346	2.458	2.9472	2.4526
8	2.9147	2.3427	2.9355	2.3451	2.849	2.3403
9	2.7556	2.1966	2.7766	2.2036	2.6937	2.2058
10	2.544	1.9904	2.5545	1.9864	2.4816	1.987
11	2.4192	1.8298	2.4089	1.8055	2.3542	1.8051
12	2.3862	1.804	2.3731	1.7834	2.3355	1.7793
13	2.3741	1.7896	2.3561	1.7635	2.3237	1.7632
14	2.3625	1.7748	2.3424	1.7484	2.3047	1.7458
15	2.3502	1.7853	2.3388	1.7656	2.2937	1.7604
16	2.3419	1.7873	2.3389	1.7716	2.2889	1.7656
17	2.3293	1.7737	2.3299	1.7597	2.2748	1.7529
18	2.3293	1.722	2.311	1.6984	2.2579	1.6961
19	2.2975	1.7283	2.2921	1.7114	2.2349	1.708
20	2.288	1.7508	2.2976	1.7428	2.2361	1.7376
21	2.2635	1.7214	2.2756	1.714	2.2088	1.7118
22	2.2423	1.6758	2.2513	1.665	2.1792	1.6628
23	2.2226	1.6506	2.2374	1.6417	2.1578	1.6371
24	2.1839	1.6321	2.207	1.6322	2.1226	1.6245
25	2.1463	1.5911	2.1713	1.5904	2.0821	1.5782
26	2.1025	1.5457	2.127	1.5417	2.0342	1.5262
27	2.0546	1.5263	2.0822	1.5294	1.9899	1.5087
28	2.0127	1.4917	2.0256	1.4817	1.9452	1.4655
29	1.9745	1.4502	1.9685	1.423	1.9026	1.419
30	1.9699	1.4423	1.9573	1.4157	1.8963	1.4166
31	1.9186	1.3963	1.8857	1.3547	1.8499	1.3712
32	1.8898	1.416	1.8712	1.3997	1.8354	1.3905
33	1.8632	1.4109	1.8547	1.3967	1.8156	1.3924
34	1.8401	1.352	1.7947	1.299	1.7816	1.3291
35	1.7781	1.3357	1.7556	1.3112	1.7362	1.3171
36	1.7359	1.2855	1.704	1.2421	1.6827	1.2618
37	1.6922	1.2628	1.6662	1.2244	1.6517	1.2418
38	1.6712	1.2486	1.6547	1.2147	1.6299	1.2266
39	1.637	1.2301	1.6267	1.2032	1.6084	1.2161
40	1.6667	1.2354	1.6449	1.1823	1.6193	1.2139
41	1.6016	1.2072	1.5978	1.1855	1.577	1.1954
42	1.5994	1.2076	1.5907	1.184	1.5821	1.1984
43	1.5536	1.1588	1.5527	1.127	1.5258	1.1471
44	1.6107	1.2319	1.6265	1.2372	1.6097	1.234
45	1.543	1.1581	1.541	1.137	1.5207	1.1479
46	1.5437	1.1421	1.5448	1.1153	1.5144	1.1332
47	1.5234	1.1461	1.5332	1.1289	1.5172	1.1447
48	1.509	1.1198	1.5188	1.1	1.4877	1.1129
49	1.49	1.1128	1.5077	1.1	1.4779	1.1094
50	1.481	1.1039	1.498	1.0885	1.4709	1.1016
51	1.4809	1.1097	1.5059	1.1034	1.4762	1.1101
52	1.5232	1.1219	1.5437	1.1043	1.493	1.1186
53	1.5252	1.1218	1.5433	1.1059	1.4979	1.119
54	1.4775	1.1066	1.5075	1.1045	1.4791	1.111
55	1.4578	1.0876	1.4933	1.0871	1.4569	1.0903
56	1.4426	1.0632	1.4811	1.0615	1.4264	1.0611
57	1.4457	1.0799	1.4859	1.0877	1.4464	1.0831
58	1.4249	1.0531	1.4719	1.0558	1.4199	1.0548
59	1.4789	1.1119	1.514	1.116	1.4843	1.1159
60	1.4326	1.0668	1.479	1.0779	1.4399	1.0738
61	1.4142	1.0358	1.4688	1.0433	1.4072	1.0392
62	1.4214	1.0506	1.47	1.0567	1.423	1.0553
63	1.4214	1.0537	1.4778	1.0715	1.424	1.0571
64	1.404	1.0377	1.4645	1.0524	1.4094	1.0446
65	1.3966	1.0262	1.4525	1.0368	1.3981	1.0345
66	1.3907	1.0173	1.4529	1.0312	1.3911	1.0239
67	1.4213	1.0615	1.4773	1.0817	1.4425	1.0765
68	1.4014	1.0211	1.4602	1.0308	1.3937	1.0268
69	1.387	1.0202	1.4483	1.0375	1.3988	1.0314
70	1.3957	1.0171	1.4576	1.0289	1.3926	1.023
71	1.371	1.0011	1.436	1.0187	1.3738	1.0104
72	1.4057	1.0485	1.4731	1.0747	1.4302	1.0659
73	1.364	0.9926	1.4299	1.0084	1.367	1.0004
74	1.3619	0.9992	1.432	1.0258	1.3794	1.0118
75	1.3526	0.987	1.4267	1.0116	1.3658	0.9974
76	1.3551	0.9855	1.4235	1.0052	1.3642	0.9943
77	1.3459	0.9814	1.4222	1.0018	1.3662	0.9926
78	1.3511	0.9926	1.4231	1.022	1.3742	1.0065
79	1.3487	0.9767	1.4215	0.9948	1.3569	0.9845
80	1.3631	1.0067	1.4363	1.037	1.3886	1.0225
81	1.3318	0.9661	1.4095	0.9891	1.3514	0.9779
82	1.3286	0.964	1.4032	0.9865	1.3491	0.9758
83	1.3291	0.9686	1.4105	1.0	1.3586	0.9874
84	1.3312	0.9635	1.4035	0.9853	1.3455	0.9766
85	1.3426	0.9884	1.4162	1.0188	1.3737	1.0043
86	1.3206	0.955	1.3969	0.9791	1.3435	0.9702
87	1.3153	0.9563	1.3892	0.9828	1.344	0.9735
88	1.3164	0.9578	1.3953	0.9886	1.3492	0.9783
89	1.3128	0.951	1.3892	0.9778	1.335	0.9627
90	1.3072	0.9507	1.3922	0.9853	1.3405	0.9674
91	1.3067	0.9498	1.3846	0.9852	1.3405	0.968
92	1.308	0.9452	1.3883	0.9712	1.3342	0.9604
93	1.3274	0.9775	1.4066	1.011	1.3739	1.0021
94	1.3025	0.9365	1.3807	0.9659	1.3212	0.9503
95	1.2955	0.9374	1.3825	0.9723	1.3322	0.9586
96	1.2865	0.9313	1.3693	0.9644	1.3238	0.9488
97	1.2873	0.9304	1.3728	0.9671	1.3224	0.9533
98	1.2848	0.9315	1.3673	0.9657	1.3271	0.9526
99	1.2847	0.9274	1.365	0.9622	1.3123	0.9437
100	1.2754	0.9183	1.367	0.9544	1.3163	0.9379
101	1.276	0.9222	1.3567	0.9562	1.3152	0.9431
102	1.2889	0.9355	1.3754	0.9691	1.3341	0.9583
103	1.2693	0.9148	1.3524	0.9476	1.3087	0.9326
104	1.2807	0.9219	1.364	0.9534	1.3165	0.9429
105	1.2825	0.9329	1.3699	0.9711	1.3348	0.9588
106	1.2648	0.9149	1.3497	0.9526	1.3079	0.9363
107	1.2718	0.9122	1.3636	0.9466	1.306	0.9277
108	1.2587	0.9086	1.3462	0.9501	1.3031	0.9312
109	1.2588	0.9095	1.3517	0.9507	1.3096	0.9343
110	1.2484	0.8975	1.3391	0.9334	1.2934	0.9164
111	1.2455	0.8932	1.3366	0.936	1.287	0.9154
112	1.2398	0.8891	1.338	0.9311	1.2902	0.9143
113	1.2483	0.9032	1.3367	0.9416	1.3011	0.9287
114	1.2377	0.8885	1.3322	0.9336	1.282	0.9143
115	1.2628	0.9223	1.3609	0.9688	1.3271	0.957
116	1.2351	0.8886	1.3277	0.9317	1.275	0.9091
117	1.2284	0.8846	1.3253	0.9283	1.2845	0.911
118	1.2294	0.8847	1.3213	0.9271	1.2774	0.9109
119	1.2213	0.8724	1.3175	0.9116	1.2665	0.8937
120	1.2174	0.8742	1.3155	0.9177	1.2773	0.9043
121	1.223	0.8797	1.3204	0.9222	1.2654	0.9007
122	1.2244	0.8873	1.3219	0.9372	1.285	0.9216
123	1.2277	0.8876	1.3257	0.9255	1.2751	0.9056
124	1.2645	0.9278	1.357	0.9718	1.3225	0.9533
125	1.1965	0.8581	1.2921	0.9017	1.2396	0.8774
