epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	5.8037	5.1301	5.9579	5.3177	5.9212	5.2585
1	3.9771	3.1749	4.0703	3.2727	3.9837	3.2011
2	3.9466	3.1464	3.9589	3.1564	3.8847	3.1339
3	3.5889	2.8682	3.6737	2.9564	3.6076	2.9051
4	3.2373	2.5926	3.267	2.6188	3.2003	2.6007
5	3.0514	2.4998	3.101	2.5351	3.0215	2.5295
6	3.0061	2.394	3.0126	2.3813	2.9217	2.3682
7	2.8848	2.3282	2.9113	2.333	2.8206	2.3252
8	2.7271	2.1683	2.7454	2.1757	2.6579	2.1697
9	2.5642	1.9643	2.5594	1.9544	2.4839	1.9486
10	2.437	1.8648	2.4331	1.846	2.3736	1.8349
11	2.4133	1.864	2.4152	1.8524	2.3707	1.8384
12	2.3869	1.8378	2.3853	1.8215	2.3429	1.8114
13	2.3611	1.7686	2.3448	1.7398	2.302	1.7371
14	2.3516	1.7479	2.338	1.7219	2.2928	1.7174
15	2.3355	1.7685	2.3387	1.7515	2.2859	1.7426
16	2.3179	1.7514	2.3213	1.7332	2.2678	1.7274
17	2.297	1.7219	2.2981	1.7044	2.2428	1.699
18	2.2844	1.6888	2.2766	1.6666	2.2217	1.6625
19	2.2511	1.7008	2.2615	1.6942	2.1968	1.6837
20	2.2307	1.6945	2.256	1.7027	2.1824	1.6876
21	2.1781	1.6242	2.2036	1.6267	2.1194	1.6148
22	2.1432	1.5998	2.1786	1.6122	2.0867	1.5981
23	2.1083	1.5565	2.1324	1.5581	2.0449	1.5501
24	2.0874	1.5224	2.0962	1.5102	2.0174	1.5081
25	2.0402	1.5046	2.053	1.5015	1.9739	1.4867
26	2.0029	1.4973	2.0194	1.4995	1.9439	1.4784
27	1.9589	1.4674	1.9636	1.4581	1.9005	1.4473
28	1.9115	1.427	1.8965	1.4041	1.8513	1.4026
29	1.8824	1.3864	1.8442	1.3423	1.8189	1.3577
30	1.8574	1.3704	1.8151	1.3274	1.7954	1.3422
31	1.8268	1.3423	1.7766	1.2864	1.7664	1.312
32	1.7813	1.3298	1.7461	1.2973	1.7333	1.3034
33	1.7523	1.3047	1.7189	1.2722	1.7046	1.2761
34	1.7285	1.2916	1.705	1.2672	1.6843	1.2657
35	1.6927	1.2508	1.6576	1.2032	1.643	1.2223
36	1.6833	1.2625	1.6698	1.2426	1.6522	1.243
37	1.6429	1.2246	1.6183	1.1831	1.6034	1.2001
38	1.6224	1.2032	1.5996	1.1551	1.5794	1.1821
39	1.595	1.1895	1.5882	1.1649	1.5679	1.1747
40	1.6191	1.2021	1.6049	1.1563	1.5768	1.1842
41	1.5499	1.1577	1.5568	1.1383	1.5283	1.147
42	1.5675	1.1761	1.5778	1.1723	1.5521	1.1662
43	1.526	1.1306	1.5423	1.1145	1.4976	1.1209
44	1.6009	1.1891	1.6068	1.1607	1.5588	1.1758
45	1.5869	1.1758	1.5898	1.1476	1.5479	1.1674
46	1.5038	1.1172	1.5316	1.1171	1.4891	1.111
47	1.4809	1.0935	1.5109	1.0937	1.4705	1.0922
48	1.4804	1.0888	1.508	1.0799	1.4571	1.0858
49	1.4839	1.1067	1.5174	1.1217	1.4893	1.1144
50	1.5076	1.1298	1.542	1.1475	1.5118	1.1363
51	1.46	1.0719	1.4877	1.0663	1.4401	1.0706
52	1.4475	1.0671	1.4868	1.0753	1.4397	1.0685
53	1.4307	1.0513	1.4684	1.0587	1.4305	1.0587
54	1.4272	1.0479	1.465	1.054	1.4177	1.0515
55	1.4203	1.0392	1.4592	1.0397	1.4099	1.0392
56	1.4284	1.051	1.474	1.0652	1.4335	1.0616
57	1.4125	1.0361	1.456	1.0443	1.408	1.0401
58	1.398	1.019	1.4406	1.0233	1.3946	1.0228
59	1.395	1.0176	1.4446	1.0291	1.4026	1.0308
60	1.3929	1.0143	1.4332	1.0166	1.3864	1.0164
61	1.3903	1.0214	1.4347	1.0344	1.3949	1.0277
62	1.3834	1.0104	1.4298	1.0175	1.3934	1.019
63	1.3751	1.0	1.4289	1.0183	1.3834	1.0158
64	1.4309	1.0699	1.4681	1.0858	1.4571	1.0851
65	1.399	1.0179	1.4449	1.0196	1.3915	1.0215
66	1.3675	1.0012	1.4161	1.016	1.3791	1.0115
67	1.3505	0.9809	1.4074	0.9973	1.3662	0.9948
68	1.3673	0.9989	1.4141	1.0009	1.3732	1.0065
69	1.3455	0.9819	1.4037	1.0	1.367	1.003
70	1.3525	0.9932	1.3977	1.0078	1.3691	1.0074
71	1.3382	0.9773	1.4002	1.0015	1.37	1.0008
72	1.3731	1.0031	1.4195	1.0102	1.3744	1.0067
73	1.3169	0.9584	1.379	0.9785	1.3423	0.978
74	1.3178	0.9614	1.3811	0.9777	1.341	0.9792
75	1.3091	0.9532	1.3687	0.9715	1.334	0.97
76	1.3026	0.9413	1.3672	0.9611	1.329	0.9578
77	1.2893	0.9322	1.3567	0.955	1.314	0.9504
78	1.3138	0.962	1.3664	0.9712	1.3347	0.9742
79	1.3145	0.9623	1.3842	0.9898	1.3555	0.9943
80	1.2733	0.9229	1.3397	0.943	1.3107	0.9442
81	1.269	0.9165	1.3417	0.9432	1.302	0.9395
82	1.2645	0.9207	1.332	0.9426	1.2999	0.9413
83	1.2927	0.9421	1.3606	0.9558	1.3158	0.9579
84	1.2712	0.9283	1.3333	0.9458	1.2997	0.9422
85	1.2875	0.947	1.3602	0.9752	1.3315	0.9734
86	1.2557	0.9154	1.3299	0.9341	1.3063	0.9397
87	1.2837	0.9388	1.3478	0.9499	1.3039	0.9532
88	1.3056	0.9673	1.3836	1.0018	1.3629	1.0036
89	1.238	0.8968	1.3224	0.9261	1.2884	0.9257
90	1.2818	0.9478	1.3495	0.9558	1.3054	0.9615
91	1.2286	0.8904	1.3054	0.9151	1.2771	0.9156
92	1.2366	0.9	1.3178	0.9272	1.289	0.9284
93	1.236	0.9058	1.3125	0.9203	1.274	0.9242
94	1.2058	0.8679	1.2882	0.8948	1.2568	0.8982
95	1.2007	0.8699	1.285	0.8921	1.2418	0.8927
96	1.1918	0.8581	1.2845	0.8866	1.2508	0.8898
97	1.2376	0.908	1.3127	0.9258	1.2718	0.9232
98	1.2132	0.8826	1.3009	0.9136	1.2733	0.9208
99	1.1784	0.8532	1.2755	0.8832	1.2389	0.8828
100	1.182	0.8528	1.2719	0.8788	1.2325	0.8785
101	1.303	0.9795	1.3796	1.0121	1.3719	1.0222
102	1.2143	0.8903	1.3043	0.9248	1.2851	0.9346
103	1.1799	0.8611	1.273	0.8854	1.2383	0.8885
104	1.1749	0.8478	1.2701	0.8809	1.2425	0.8882
105	1.1739	0.8595	1.2723	0.8887	1.2349	0.8887
106	1.1665	0.8452	1.2645	0.8789	1.2401	0.8893
107	1.1664	0.8398	1.2597	0.8688	1.223	0.8699
108	1.1405	0.8211	1.2448	0.8545	1.2126	0.8596
109	1.1487	0.8382	1.2489	0.864	1.22	0.8734
110	1.1441	0.8272	1.2434	0.8629	1.223	0.8789
111	1.1328	0.814	1.2367	0.8484	1.2134	0.8574
112	1.1397	0.8152	1.2436	0.8454	1.2166	0.859
113	1.1379	0.8254	1.238	0.8553	1.2155	0.8666
114	1.1415	0.8242	1.2403	0.8587	1.2175	0.8723
115	1.1701	0.864	1.2715	0.8911	1.2379	0.8906
116	1.1439	0.8284	1.2416	0.8628	1.2258	0.8789
117	1.1389	0.8351	1.2422	0.867	1.2085	0.8677
118	1.1241	0.8082	1.2293	0.8376	1.2116	0.8573
119	1.1349	0.8325	1.2369	0.8632	1.2087	0.8659
120	1.1528	0.8376	1.255	0.8754	1.2317	0.8857
121	1.1143	0.8127	1.2221	0.8454	1.1997	0.8581
122	1.0981	0.785	1.2095	0.8225	1.1839	0.8338
123	1.1072	0.7904	1.2127	0.8213	1.1801	0.8286
124	1.0879	0.7794	1.1998	0.8165	1.1754	0.829
125	1.09	0.7864	1.2016	0.817	1.1782	0.831
126	1.0839	0.7763	1.197	0.8134	1.1714	0.8261
127	1.1344	0.8384	1.2403	0.8672	1.2044	0.8687
128	1.0847	0.7803	1.1926	0.8134	1.1668	0.8254
129	1.1381	0.8322	1.2439	0.8703	1.2337	0.8926
130	1.0899	0.7898	1.2037	0.8203	1.176	0.8314
131	1.0837	0.7751	1.1954	0.8043	1.166	0.8161
132	1.0881	0.7838	1.2048	0.8207	1.1869	0.8416
133	1.0714	0.7658	1.1878	0.7999	1.1579	0.8097
134	1.0704	0.7619	1.1847	0.7993	1.1572	0.8107
135	1.0658	0.7634	1.1846	0.7994	1.1647	0.8189
136	1.0625	0.7611	1.1793	0.7938	1.1571	0.8107
137	1.0569	0.7486	1.1706	0.7869	1.1472	0.802
138	1.0662	0.7612	1.1876	0.8014	1.1697	0.8192
139	1.0553	0.7553	1.1776	0.7942	1.1593	0.8145
140	1.0516	0.7454	1.1691	0.7844	1.1391	0.7956
141	1.0473	0.7424	1.1705	0.7772	1.1479	0.7944
142	1.0503	0.7492	1.1669	0.7879	1.1453	0.8079
143	1.0554	0.762	1.1876	0.8002	1.1605	0.8157
144	1.0618	0.7711	1.1794	0.8072	1.15	0.815
145	1.0469	0.7464	1.1675	0.788	1.1469	0.8062
