epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	6.2999	5.6691	6.4547	5.8522	6.4243	5.8014
1	4.4906	3.6911	4.6325	3.8569	4.5703	3.79
2	4.3854	3.5019	4.352	3.4478	4.2814	3.452
3	3.4819	2.782	3.556	2.8567	3.4896	2.8143
4	3.2447	2.6156	3.3114	2.6816	3.2456	2.6616
5	3.0721	2.48	3.0935	2.4856	3.0158	2.4827
6	3.0418	2.4891	3.081	2.5027	2.994	2.498
7	2.9984	2.4456	3.0346	2.4579	2.9472	2.4526
8	2.9147	2.3427	2.9355	2.3451	2.849	2.3403
9	2.7556	2.1966	2.7766	2.2035	2.6936	2.2057
10	2.5439	1.9904	2.5545	1.9864	2.4815	1.987
11	2.4191	1.8298	2.4089	1.8055	2.3542	1.8051
12	2.3861	1.804	2.3731	1.7834	2.3354	1.7792
13	2.3741	1.7895	2.356	1.7635	2.3237	1.7631
14	2.3625	1.7749	2.3425	1.7486	2.3048	1.7459
15	2.3502	1.7853	2.339	1.7656	2.2938	1.7604
16	2.342	1.7875	2.339	1.7718	2.289	1.7657
17	2.3294	1.7742	2.3301	1.7603	2.275	1.7534
18	2.3293	1.722	2.3108	1.6983	2.2578	1.6961
19	2.2975	1.7279	2.292	1.7109	2.2348	1.7075
20	2.2879	1.7508	2.2976	1.7428	2.2361	1.7376
21	2.2635	1.7216	2.2757	1.7144	2.2089	1.7121
22	2.2421	1.6757	2.2512	1.6649	2.179	1.6627
23	2.2225	1.6504	2.2373	1.6415	2.1576	1.6369
24	2.1836	1.6318	2.2068	1.6318	2.1223	1.6242
25	2.146	1.5906	2.171	1.5899	2.0817	1.5776
26	2.1021	1.5454	2.1267	1.5414	2.0339	1.5258
27	2.0545	1.5263	2.0821	1.5295	1.99	1.5089
28	2.0124	1.4911	2.0249	1.4808	1.9448	1.465
29	1.9746	1.4506	1.9684	1.4235	1.9029	1.4194
30	1.9717	1.4429	1.9583	1.4159	1.8979	1.4172
31	1.9167	1.3953	1.8838	1.3546	1.8484	1.3707
32	1.8947	1.4213	1.8757	1.4055	1.8412	1.3953
33	1.8602	1.4055	1.8504	1.3888	1.8114	1.3866
34	1.8404	1.3522	1.7945	1.2992	1.7826	1.3298
35	1.7827	1.3415	1.761	1.3199	1.743	1.3246
36	1.7394	1.2873	1.7063	1.243	1.6857	1.2638
37	1.6943	1.266	1.6681	1.2279	1.6557	1.2453
38	1.6721	1.2485	1.6548	1.2136	1.6312	1.2266
39	1.6369	1.2294	1.6254	1.2012	1.6087	1.2148
40	1.654	1.2264	1.6328	1.1734	1.6087	1.2052
41	1.6035	1.2017	1.5951	1.1732	1.573	1.1873
42	1.6502	1.2553	1.6384	1.2404	1.6365	1.2445
43	1.7033	1.317	1.7116	1.324	1.7065	1.317
44	1.5566	1.1578	1.5574	1.1315	1.5285	1.146
45	1.5576	1.1702	1.5578	1.1513	1.5374	1.1611
46	1.5369	1.1374	1.5389	1.1116	1.5112	1.1285
47	1.5318	1.1528	1.5344	1.1331	1.522	1.149
48	1.5069	1.1247	1.5179	1.1071	1.4898	1.1191
49	1.4911	1.1095	1.5088	1.0944	1.4764	1.1038
50	1.4891	1.1125	1.5044	1.0983	1.4808	1.1112
51	1.4821	1.1095	1.505	1.1026	1.4751	1.1087
52	1.532	1.1288	1.5511	1.1104	1.5008	1.1248
53	1.4886	1.0962	1.5093	1.083	1.4686	1.0943
54	1.5474	1.1779	1.574	1.1848	1.5572	1.1835
55	1.4594	1.0889	1.4926	1.0889	1.4557	1.0903
56	1.447	1.0662	1.4833	1.0639	1.43	1.0637
57	1.4517	1.0857	1.4899	1.0927	1.4529	1.089
58	1.4284	1.0554	1.4733	1.0575	1.4211	1.0556
59	1.4636	1.0958	1.4991	1.0978	1.4657	1.0988
60	1.4263	1.0578	1.4728	1.0655	1.4295	1.0625
61	1.4136	1.0376	1.4682	1.0461	1.4078	1.0402
62	1.4219	1.0503	1.4695	1.0565	1.4214	1.0546
63	1.4334	1.068	1.4901	1.0898	1.4387	1.0735
64	1.423	1.0415	1.4787	1.0474	1.4078	1.0427
65	1.4599	1.0984	1.5087	1.1145	1.4772	1.1107
66	1.3981	1.0246	1.4564	1.0373	1.3976	1.0304
67	1.4276	1.0441	1.4786	1.0486	1.415	1.0471
68	1.4049	1.0401	1.4624	1.0563	1.4165	1.0507
69	1.3868	1.017	1.4454	1.0305	1.3898	1.0241
70	1.402	1.0227	1.4605	1.0326	1.3965	1.0271
71	1.3757	1.0055	1.4381	1.0214	1.3782	1.0135
72	1.3995	1.0403	1.4655	1.0638	1.4188	1.0553
73	1.3666	0.9973	1.4315	1.0139	1.3704	1.0041
74	1.362	0.996	1.43	1.0182	1.373	1.0051
75	1.3931	1.0351	1.4626	1.0629	1.4158	1.0495
76	1.3909	1.0122	1.4518	1.024	1.3862	1.017
77	1.359	0.9953	1.4305	1.0153	1.3794	1.0067
78	1.3623	1.0036	1.4337	1.0319	1.3869	1.0191
79	1.3617	0.9875	1.4318	1.0034	1.365	0.994
80	1.3891	1.0336	1.4582	1.0637	1.4136	1.0492
81	1.3447	0.9751	1.4202	0.9965	1.3576	0.9848
82	1.3366	0.9712	1.4097	0.9928	1.3546	0.9822
83	1.3323	0.9698	1.4118	0.9978	1.3561	0.9855
84	1.3776	1.0023	1.4446	1.0147	1.3785	1.0099
85	1.3476	0.9922	1.4196	1.0216	1.3767	1.0083
86	1.3283	0.9658	1.4064	0.9902	1.3558	0.9845
87	1.3488	0.9797	1.4146	0.9934	1.3555	0.9883
88	1.3247	0.9622	1.3995	0.9893	1.3515	0.9815
89	1.3278	0.9724	1.4046	1.0036	1.3624	0.9914
90	1.3224	0.961	1.4043	0.9864	1.3417	0.9693
91	1.3434	0.9908	1.4219	1.0282	1.3826	1.0154
92	1.3431	0.9772	1.4176	0.9963	1.3562	0.9867
93	1.3182	0.9641	1.3985	0.9961	1.3576	0.9856
94	1.3173	0.9608	1.3955	0.993	1.3529	0.9818
95	1.3319	0.9606	1.4089	0.986	1.3405	0.969
96	1.3064	0.9517	1.3869	0.9834	1.3456	0.9717
97	1.3086	0.955	1.3904	0.9898	1.3466	0.9775
98	1.2912	0.9348	1.3723	0.9671	1.3261	0.9541
99	1.3085	0.9466	1.3862	0.9737	1.3263	0.957
100	1.2934	0.938	1.3818	0.9717	1.3358	0.9598
101	1.2862	0.9297	1.3645	0.9595	1.318	0.946
102	1.3158	0.9633	1.3967	0.993	1.3593	0.9845
103	1.2838	0.9244	1.3653	0.9519	1.314	0.9386
104	1.2828	0.9249	1.3644	0.9555	1.3178	0.9455
105	1.2795	0.9267	1.3681	0.9652	1.3234	0.9488
106	1.2699	0.9162	1.3539	0.9515	1.3077	0.9362
107	1.2696	0.9111	1.3618	0.9463	1.309	0.93
108	1.2708	0.9181	1.3581	0.9551	1.3098	0.9388
109	1.2639	0.9126	1.353	0.9527	1.31	0.9365
110	1.2559	0.9032	1.347	0.9382	1.3028	0.9235
111	1.2539	0.9018	1.3423	0.9436	1.2961	0.9241
112	1.2503	0.8971	1.3457	0.9371	1.2958	0.9213
113	1.2648	0.9193	1.3511	0.9567	1.319	0.946
114	1.2499	0.9004	1.3421	0.9457	1.295	0.9268
115	1.2551	0.9093	1.3527	0.9538	1.3134	0.9409
116	1.2545	0.9047	1.3452	0.9446	1.2896	0.9232
117	1.2744	0.9324	1.3664	0.9752	1.3369	0.9634
118	1.236	0.8838	1.3262	0.9243	1.273	0.9046
119	1.2275	0.8777	1.3251	0.9186	1.2766	0.9013
120	1.2276	0.8824	1.3218	0.9248	1.2821	0.91
121	1.3288	0.9932	1.4129	1.0376	1.3908	1.0229
122	1.2244	0.8774	1.3162	0.92	1.2693	0.9027
123	1.2217	0.8776	1.3189	0.9162	1.2772	0.8994
124	1.2463	0.9051	1.3415	0.9511	1.3038	0.933
125	1.2218	0.8771	1.3133	0.918	1.2574	0.8945
