epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	6.1151	5.4718	6.2689	5.6563	6.2365	5.6014
1	4.0982	3.2944	4.22	3.4336	4.1445	3.3544
2	4.2616	3.3933	4.2352	3.3486	4.1654	3.3533
3	3.5514	2.8357	3.6302	2.9174	3.5616	2.8654
4	3.2258	2.5839	3.2721	2.6274	3.206	2.6072
5	3.0257	2.4473	3.0536	2.4631	2.9731	2.4564
6	2.9782	2.402	3.0003	2.405	2.9074	2.3917
7	2.8919	2.3513	2.9273	2.3672	2.8367	2.3576
8	2.7374	2.1507	2.7444	2.148	2.6558	2.1427
9	2.5632	2.0138	2.5787	2.0183	2.5035	2.0081
10	2.4384	1.8662	2.4365	1.8532	2.3773	1.8429
11	2.404	1.8034	2.388	1.7798	2.3433	1.7734
12	2.3794	1.7854	2.3672	1.7633	2.3256	1.7573
13	2.3631	1.7833	2.3617	1.7662	2.313	1.7551
14	2.3517	1.7794	2.3539	1.7638	2.2999	1.7531
15	2.3409	1.7655	2.3406	1.7484	2.2851	1.7393
16	2.3293	1.7498	2.329	1.7333	2.2719	1.724
17	2.3125	1.7455	2.3101	1.7277	2.255	1.7211
18	2.2944	1.7236	2.2916	1.7069	2.2334	1.7
19	2.2725	1.7031	2.2747	1.6892	2.2094	1.6816
20	2.2417	1.6971	2.2558	1.6879	2.1836	1.6827
21	2.2104	1.6805	2.2414	1.6854	2.1591	1.6756
22	2.1638	1.6342	2.2043	1.6432	2.112	1.6318
23	2.1356	1.6276	2.1922	1.6534	2.0942	1.6307
24	2.0689	1.5387	2.1021	1.5358	2.0123	1.5295
25	2.032	1.5001	2.0486	1.4833	1.9704	1.4842
26	1.9847	1.469	1.9887	1.4491	1.9247	1.4524
27	1.9611	1.4416	1.9451	1.404	1.8972	1.418
28	1.9301	1.4712	1.9232	1.4669	1.8927	1.4573
29	1.8486	1.379	1.829	1.3565	1.8014	1.3607
30	1.8642	1.3629	1.824	1.3133	1.8038	1.3378
31	1.9314	1.4108	1.8827	1.3581	1.8636	1.3851
32	1.8637	1.3593	1.8203	1.3126	1.8068	1.3386
33	1.7667	1.3032	1.7337	1.2647	1.721	1.2795
34	1.7048	1.2625	1.6793	1.223	1.6755	1.251
35	1.6971	1.2758	1.6798	1.2531	1.6858	1.275
36	1.6577	1.2277	1.6353	1.1892	1.6364	1.2233
37	1.6321	1.2094	1.62	1.1723	1.6173	1.2119
