epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	6.2326	5.5961	6.3856	5.7777	6.355	5.7267
1	4.1688	3.3479	4.2907	3.4864	4.2074	3.402
2	4.1535	3.3321	4.1171	3.2855	4.057	3.2879
3	3.3733	2.6996	3.4484	2.7717	3.3871	2.744
4	3.0744	2.4831	3.1071	2.4983	3.0358	2.5009
5	3.0497	2.5095	3.0987	2.532	3.0079	2.5202
6	2.9985	2.4191	3.0222	2.4196	2.9242	2.404
7	2.917	2.3688	2.9512	2.387	2.8558	2.3716
8	2.7758	2.2028	2.7843	2.2007	2.6921	2.1905
9	2.5739	2.0185	2.5782	2.0165	2.5004	2.0092
10	2.4298	1.8492	2.41	1.8239	2.3568	1.8197
11	2.3917	1.8103	2.3685	1.7799	2.3354	1.7758
12	2.3909	1.8343	2.3848	1.8132	2.3482	1.8019
13	2.3673	1.7957	2.3682	1.7768	2.3182	1.7607
14	2.357	1.7576	2.3534	1.7347	2.3008	1.7231
15	2.3453	1.7766	2.3621	1.7641	2.2978	1.7472
16	2.3348	1.7661	2.3545	1.7559	2.2884	1.7385
17	2.3186	1.7225	2.3205	1.7026	2.2634	1.6922
18	2.298	1.7109	2.301	1.694	2.2446	1.6843
19	2.2881	1.7462	2.3067	1.7391	2.2447	1.7282
20	2.2497	1.6851	2.2622	1.6771	2.1955	1.6654
21	2.2303	1.6412	2.2334	1.6262	2.1639	1.6144
22	2.2099	1.6137	2.2111	1.596	2.1375	1.5849
23	2.164	1.6178	2.1858	1.6213	2.101	1.5991
24	2.1704	1.6547	2.203	1.6713	2.1178	1.6405
25	2.1856	1.6891	2.2204	1.7097	2.1395	1.6731
26	2.0976	1.5724	2.1104	1.5708	2.0349	1.5481
27	2.0776	1.5115	2.0715	1.4901	2.003	1.4871
28	2.0616	1.4929	2.0495	1.4655	1.9861	1.4645
29	2.0131	1.4658	2.003	1.4401	1.9431	1.4371
30	1.9773	1.4692	1.9753	1.4549	1.9196	1.4431
31	1.9341	1.4297	1.9234	1.4103	1.8769	1.4062
32	1.8911	1.3853	1.8651	1.3539	1.8291	1.3602
33	1.8507	1.3737	1.8244	1.3485	1.7971	1.3533
34	1.8051	1.3421	1.7555	1.3038	1.7558	1.3201
35	1.7701	1.3102	1.713	1.2576	1.7184	1.2891
36	1.74	1.3065	1.6922	1.2684	1.7028	1.2821
37	1.7019	1.2556	1.6481	1.1995	1.6535	1.2347
38	1.6567	1.2415	1.6252	1.2077	1.6233	1.2219
39	1.662	1.2331	1.6126	1.1715	1.6246	1.2181
40	1.6227	1.2177	1.61	1.1963	1.6013	1.2079
41	1.5889	1.1872	1.5816	1.1652	1.565	1.1786
42	1.6022	1.1899	1.5761	1.1455	1.5736	1.1836
43	1.5667	1.1738	1.5729	1.1614	1.5502	1.1705
44	1.5404	1.1422	1.5494	1.1246	1.5182	1.1408
45	1.546	1.159	1.5486	1.145	1.531	1.1515
46	1.5162	1.1262	1.527	1.1072	1.4936	1.1227
47	1.5089	1.1283	1.5275	1.1257	1.4944	1.1255
48	1.4967	1.1072	1.5105	1.0897	1.4741	1.1032
49	1.4825	1.0956	1.5123	1.0914	1.4623	1.0938
50	1.4708	1.087	1.4931	1.076	1.4538	1.0857
51	1.4598	1.0804	1.4864	1.0753	1.4445	1.079
52	1.4516	1.0695	1.4865	1.0679	1.4352	1.0698
53	1.454	1.0795	1.4954	1.088	1.4553	1.0843
54	1.4403	1.0672	1.4788	1.0728	1.4378	1.0705
55	1.5008	1.1038	1.5297	1.0908	1.47	1.1028
56	1.4768	1.0845	1.506	1.075	1.4509	1.0853
57	1.453	1.0829	1.4953	1.0968	1.458	1.0882
58	1.4386	1.0677	1.4784	1.0803	1.4471	1.0738
59	1.455	1.0633	1.492	1.0584	1.4333	1.0654
60	1.4091	1.0322	1.4539	1.0368	1.4032	1.0363
61	1.3946	1.0185	1.4467	1.0251	1.3976	1.0262
62	1.3902	1.0143	1.4391	1.0222	1.3847	1.0195
63	1.3949	1.0255	1.4481	1.0431	1.4016	1.037
64	1.375	0.9989	1.4335	1.012	1.3778	1.0085
65	1.4391	1.0546	1.4839	1.0503	1.4215	1.0595
66	1.3836	1.018	1.4368	1.0382	1.3935	1.0262
67	1.3672	0.9931	1.4311	1.0096	1.3717	1.0031
68	1.411	1.035	1.4561	1.0292	1.3997	1.0394
69	1.3658	0.997	1.4327	1.0207	1.3795	1.0127
70	1.3548	0.9816	1.4187	0.9948	1.3561	0.9892
71	1.3621	0.998	1.4285	1.0235	1.3725	1.006
72	1.3426	0.9765	1.4114	1.0025	1.3534	0.9871
73	1.3746	0.9998	1.4375	1.0077	1.3713	1.0083
74	1.3905	1.0342	1.4577	1.0665	1.4195	1.0517
75	1.3408	0.9713	1.4094	0.9865	1.3475	0.9809
76	1.326	0.9589	1.3998	0.9807	1.3366	0.9681
77	1.3343	0.9768	1.4085	1.008	1.3555	0.9881
78	1.3714	0.9983	1.4424	1.0096	1.3712	1.0119
79	1.3795	1.0069	1.4378	1.0143	1.3744	1.0145
80	1.3112	0.9522	1.3879	0.9801	1.3288	0.967
81	1.3284	0.9733	1.4063	1.0058	1.3599	0.9926
82	1.3122	0.9488	1.3899	0.9699	1.3286	0.9618
83	1.2965	0.9387	1.3782	0.9682	1.3179	0.9539
84	1.3082	0.9565	1.3872	0.9893	1.345	0.9798
85	1.2977	0.9361	1.3791	0.9639	1.32	0.956
86	1.2863	0.9344	1.3673	0.9661	1.3112	0.9501
87	1.2741	0.9208	1.3622	0.955	1.3074	0.9426
88	1.2965	0.9402	1.3748	0.9624	1.3152	0.9568
89	1.2611	0.91	1.3499	0.9442	1.2998	0.9354
90	1.3418	0.9816	1.4126	0.996	1.3505	0.9956
91	1.3176	0.9613	1.3917	0.9807	1.3311	0.9738
92	1.2838	0.9361	1.3785	0.9777	1.3386	0.9698
93	1.2954	0.9395	1.3723	0.9586	1.3145	0.9559
94	1.2555	0.9105	1.3378	0.9442	1.2956	0.9369
95	1.2388	0.8905	1.3284	0.9241	1.2778	0.9161
96	1.2453	0.8993	1.3353	0.933	1.2812	0.9219
97	1.2315	0.889	1.3257	0.9268	1.273	0.9132
98	1.2315	0.888	1.3206	0.9203	1.2693	0.9084
99	1.24	0.9004	1.3396	0.9419	1.3018	0.937
100	1.2206	0.8797	1.3156	0.9186	1.2705	0.9052
101	1.2086	0.869	1.3129	0.9107	1.2558	0.8948
102	1.2328	0.9004	1.3233	0.93	1.2712	0.9196
103	1.2066	0.8691	1.314	0.9129	1.2667	0.9033
104	1.1988	0.8684	1.3008	0.9084	1.2542	0.8963
105	1.1992	0.8652	1.3011	0.9011	1.2444	0.8895
106	1.2681	0.9325	1.3633	0.9638	1.2994	0.9532
107	1.2082	0.8835	1.3085	0.9245	1.2645	0.912
108	1.2306	0.8991	1.3266	0.9316	1.2663	0.9188
109	1.2044	0.878	1.3143	0.923	1.2709	0.9118
110	1.1807	0.8595	1.2801	0.8936	1.2346	0.8853
111	1.2946	0.9656	1.3761	0.9825	1.3272	0.9809
112	1.3045	0.9706	1.3858	0.9857	1.328	0.9872
113	1.2436	0.9168	1.3288	0.9383	1.2785	0.9367
114	1.2459	0.9143	1.3321	0.9379	1.2826	0.934
115	1.1711	0.8498	1.2712	0.8869	1.2299	0.8795
116	1.1594	0.8392	1.2675	0.8787	1.2291	0.8728
117	1.1461	0.8276	1.2564	0.862	1.2106	0.856
118	1.1413	0.8258	1.2477	0.8585	1.2038	0.8558
119	1.1421	0.832	1.2528	0.8675	1.2117	0.8631
120	1.1373	0.8256	1.248	0.8616	1.2059	0.8575
121	1.1313	0.8159	1.2448	0.8546	1.1979	0.8474
122	1.1435	0.8289	1.2554	0.8673	1.2211	0.8672
123	1.1347	0.8273	1.2479	0.8625	1.2023	0.8574
124	1.1319	0.8236	1.2498	0.8599	1.1971	0.8542
125	1.1161	0.8058	1.2375	0.8485	1.1987	0.8461
126	1.125	0.8211	1.2428	0.8594	1.1916	0.8509
127	1.1142	0.8031	1.235	0.8431	1.196	0.8413
128	1.1116	0.8041	1.235	0.8464	1.1887	0.8403
129	1.1169	0.8067	1.2384	0.8503	1.1979	0.8482
130	1.1135	0.8059	1.2322	0.843	1.1856	0.8378
131	1.0935	0.7878	1.2209	0.833	1.1752	0.8274
132	1.106	0.8084	1.224	0.8503	1.1818	0.8479
133	1.1178	0.8191	1.2389	0.8534	1.1929	0.8512
134	1.1496	0.8391	1.2688	0.8878	1.2232	0.8787
135	1.1047	0.8026	1.2219	0.8406	1.1706	0.835
136	1.1	0.7992	1.2295	0.8415	1.1907	0.8448
137	1.0959	0.7928	1.2116	0.8304	1.1675	0.8283
138	1.1056	0.8053	1.2287	0.8398	1.1812	0.841
139	1.1063	0.8027	1.2281	0.848	1.197	0.8548
140	1.1392	0.847	1.2541	0.8777	1.2085	0.8775
141	1.102	0.803	1.2241	0.8477	1.1914	0.8557
142	1.091	0.7966	1.2162	0.8372	1.1725	0.8351
143	1.085	0.7908	1.2097	0.829	1.1667	0.829
144	1.0761	0.7765	1.1989	0.8217	1.165	0.8289
145	1.0647	0.7696	1.1947	0.81	1.1546	0.8151
146	1.0779	0.7804	1.1992	0.8241	1.1546	0.8229
147	1.0579	0.7602	1.1896	0.8016	1.1497	0.806
148	1.0873	0.8022	1.2113	0.8412	1.1673	0.8401
149	1.0729	0.776	1.1968	0.818	1.161	0.8229
150	1.0579	0.764	1.1901	0.8089	1.1538	0.8107
151	1.0499	0.7546	1.181	0.8009	1.1342	0.7971
152	1.0515	0.7592	1.1853	0.8039	1.1425	0.8037
153	1.0825	0.7854	1.2099	0.8359	1.1767	0.8436
154	1.0874	0.8042	1.2163	0.8393	1.1714	0.8419
155	1.0605	0.7644	1.198	0.812	1.1636	0.8192
156	1.0404	0.7471	1.1759	0.7927	1.1304	0.7925
157	1.065	0.7821	1.1956	0.8208	1.1529	0.823
158	1.0921	0.7967	1.2245	0.8421	1.1909	0.8504
159	1.0744	0.7873	1.2013	0.8251	1.1497	0.8245
160	1.044	0.7538	1.1884	0.7956	1.1463	0.8032
161	1.0342	0.7407	1.1664	0.7833	1.1218	0.7861
162	1.0263	0.7357	1.1651	0.7829	1.1235	0.7858
163	1.031	0.7436	1.1733	0.7901	1.1342	0.796
164	1.0333	0.7498	1.1757	0.7964	1.1288	0.7962
165	1.0276	0.7355	1.1708	0.7801	1.1322	0.7847
166	1.0222	0.7337	1.1596	0.7812	1.1137	0.7816
167	1.0219	0.7324	1.1695	0.7803	1.1269	0.7858
168	1.0247	0.7369	1.1593	0.7766	1.1134	0.7811
169	1.0208	0.731	1.1732	0.7796	1.1316	0.7846
170	1.0185	0.7315	1.1541	0.7816	1.1101	0.7817
171	1.0104	0.7208	1.1583	0.7674	1.1144	0.7716
172	1.015	0.7264	1.1572	0.7679	1.1044	0.7707
173	1.0208	0.7323	1.1715	0.782	1.1314	0.7885
174	1.0259	0.7468	1.17	0.7836	1.1241	0.7931
175	1.0147	0.733	1.173	0.7801	1.1277	0.7888
176	1.0123	0.7276	1.1536	0.7787	1.1104	0.7857
177	1.0375	0.7481	1.173	0.784	1.1214	0.794
178	1.0238	0.7384	1.1685	0.7916	1.1266	0.7943
179	1.0528	0.7795	1.1938	0.8136	1.1478	0.823
180	1.0137	0.7272	1.1503	0.7808	1.1091	0.7808
181	1.001	0.7192	1.1577	0.7634	1.1068	0.7708
182	1.0152	0.7435	1.1642	0.791	1.1166	0.7941
183	0.9926	0.7112	1.1552	0.7617	1.1096	0.7678
184	1.0145	0.7296	1.152	0.7677	1.1017	0.7763
185	1.0122	0.7295	1.1673	0.7786	1.1266	0.7888
186	1.0186	0.745	1.1659	0.783	1.1191	0.7919
187	0.9914	0.7088	1.1483	0.7577	1.1019	0.761
188	0.9851	0.7028	1.1372	0.7514	1.0852	0.7539
189	0.9821	0.7031	1.1471	0.7502	1.0915	0.7538
190	0.9767	0.6969	1.1337	0.7531	1.085	0.7519
191	0.9761	0.6975	1.1442	0.7503	1.0917	0.7534
192	0.973	0.6945	1.1381	0.7518	1.0809	0.7479
193	0.9808	0.7039	1.1358	0.7501	1.0835	0.7539
194	0.9725	0.6897	1.1287	0.7405	1.0749	0.7387
195	1.0121	0.7469	1.178	0.7877	1.125	0.7963
196	0.9784	0.699	1.1448	0.753	1.0969	0.7581
197	0.9685	0.6901	1.1249	0.7378	1.0727	0.7434
198	0.9625	0.6837	1.1178	0.7345	1.0696	0.7384
199	0.9669	0.6942	1.1447	0.7466	1.087	0.7511
200	0.9744	0.7074	1.1362	0.7534	1.0799	0.7585
201	0.9575	0.6824	1.1212	0.7344	1.0725	0.74
202	0.9831	0.7176	1.1485	0.7572	1.0911	0.7691
203	0.9722	0.6938	1.1465	0.7453	1.0972	0.7534
