epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
100	1.2097	0.876	1.3164	0.9223	1.2625	0.9016
101	1.2115	0.8743	1.3185	0.9234	1.263	0.9017
102	1.204	0.873	1.3102	0.9203	1.2629	0.9016
103	1.1942	0.8633	1.3	0.908	1.2486	0.8907
104	1.1978	0.8669	1.3034	0.9105	1.248	0.8929
105	1.2011	0.874	1.3107	0.9257	1.2605	0.8992
106	1.1907	0.8658	1.2982	0.9109	1.237	0.8868
107	1.179	0.8519	1.2984	0.9016	1.2497	0.8857
108	1.1756	0.8516	1.2814	0.8973	1.2245	0.8771
109	1.1754	0.8509	1.2871	0.8945	1.2267	0.8764
110	1.1635	0.8381	1.2819	0.8871	1.2269	0.8707
111	1.1626	0.8438	1.2736	0.8924	1.2256	0.8741
112	1.1673	0.8465	1.2881	0.8958	1.2296	0.8785
113	1.1597	0.8449	1.2685	0.8904	1.2234	0.8755
114	1.1496	0.8263	1.2704	0.8779	1.2169	0.8593
115	1.1457	0.8249	1.2655	0.8763	1.2155	0.8578
116	1.1462	0.835	1.257	0.8785	1.2109	0.8668
117	1.1348	0.8186	1.2574	0.8688	1.2038	0.8539
118	1.1346	0.8263	1.2534	0.8719	1.2106	0.8634
119	1.127	0.8113	1.2521	0.866	1.1953	0.8459
120	1.1254	0.8116	1.2479	0.8622	1.2007	0.8501
121	1.1402	0.8213	1.2588	0.8642	1.2077	0.8568
122	1.1305	0.8195	1.2552	0.8735	1.2092	0.859
123	1.1926	0.8892	1.2878	0.9124	1.2486	0.9095
124	1.1285	0.8161	1.2576	0.8704	1.2165	0.8561
125	1.1177	0.8056	1.2341	0.8511	1.1852	0.8435
126	1.1111	0.8034	1.2333	0.852	1.1914	0.8427
127	1.1337	0.8224	1.2626	0.8764	1.2179	0.8623
128	1.1383	0.841	1.249	0.8751	1.2063	0.8722
129	1.123	0.8172	1.2513	0.8709	1.2173	0.8624
130	1.1026	0.7958	1.2243	0.843	1.1819	0.8379
131	1.0995	0.7965	1.2336	0.8514	1.1907	0.8407
132	1.1075	0.8079	1.237	0.8552	1.1856	0.8475
133	1.1061	0.8026	1.234	0.8584	1.1908	0.8446
134	1.1113	0.8019	1.2339	0.8471	1.1899	0.842
135	1.0853	0.7839	1.2139	0.832	1.1718	0.8272
136	1.0936	0.7908	1.2206	0.8442	1.1862	0.836
137	1.0956	0.7998	1.2255	0.8441	1.1794	0.8407
138	1.0924	0.791	1.2253	0.8449	1.1821	0.8347
139	1.1031	0.804	1.228	0.8478	1.1822	0.8436
140	1.0863	0.7919	1.2176	0.8358	1.1722	0.8292
141	1.077	0.782	1.2157	0.8336	1.1735	0.8275
142	1.0678	0.7692	1.2123	0.8223	1.1614	0.8123
143	1.0681	0.768	1.21	0.8267	1.1611	0.8136
144	1.0736	0.7732	1.2125	0.8229	1.165	0.8197
145	1.0638	0.7701	1.1998	0.8165	1.1566	0.8147
146	1.1248	0.8318	1.2559	0.8925	1.2226	0.8813
147	1.1492	0.8584	1.2695	0.8881	1.2204	0.8898
148	1.0774	0.7822	1.2142	0.8332	1.1803	0.8302
149	1.0668	0.7683	1.2109	0.816	1.1614	0.8138
150	1.0534	0.7587	1.1888	0.8068	1.1449	0.8015
151	1.0494	0.7574	1.195	0.8089	1.1517	0.8046
152	1.0786	0.7848	1.2219	0.839	1.1902	0.8371
153	1.0628	0.7741	1.2053	0.8198	1.1502	0.8123
154	1.0558	0.7639	1.2021	0.8186	1.1683	0.8135
155	1.0453	0.7511	1.1878	0.8035	1.1405	0.7949
156	1.0516	0.7617	1.2	0.8102	1.1538	0.8085
157	1.0417	0.7505	1.1847	0.8012	1.1442	0.7957
158	1.0586	0.7692	1.2	0.8131	1.1567	0.8156
159	1.0325	0.7421	1.1846	0.7956	1.1393	0.7892
160	1.029	0.7405	1.1805	0.7903	1.1336	0.7863
161	1.0519	0.768	1.2025	0.8167	1.1506	0.8135
162	1.0505	0.762	1.1989	0.8194	1.1606	0.8121
163	1.028	0.7363	1.1754	0.786	1.1355	0.7846
164	1.0279	0.7339	1.1751	0.7836	1.117	0.7739
165	1.0272	0.7382	1.1811	0.793	1.1394	0.7867
166	1.02	0.7314	1.1733	0.7846	1.1234	0.7767
167	1.0196	0.7336	1.1752	0.7869	1.1368	0.7823
168	1.0187	0.73	1.171	0.7797	1.1258	0.7788
169	1.0292	0.7442	1.1831	0.8011	1.138	0.7936
170	1.0507	0.7633	1.2041	0.8097	1.1536	0.8101
171	1.0112	0.7245	1.169	0.7806	1.1217	0.7734
172	1.0211	0.7402	1.1788	0.7904	1.124	0.782
173	1.0073	0.724	1.1604	0.7764	1.1186	0.7726
174	1.0069	0.7212	1.1701	0.7738	1.1178	0.7672
175	1.0497	0.7661	1.2091	0.8146	1.1508	0.8115
176	1.0055	0.7273	1.1746	0.7851	1.1238	0.7768
177	1.0284	0.7501	1.1907	0.7999	1.1229	0.787
178	0.9971	0.715	1.1597	0.7704	1.1128	0.7655
179	1.0458	0.7686	1.2056	0.8135	1.1467	0.8098
180	0.9978	0.7149	1.1655	0.7699	1.1042	0.7573
181	1.0007	0.7176	1.1612	0.7678	1.1166	0.7695
182	0.9949	0.7078	1.16	0.7603	1.1032	0.7538
183	1.0024	0.7198	1.1727	0.7765	1.1252	0.7735
184	1.0365	0.7549	1.1891	0.7994	1.1304	0.7985
185	1.0665	0.7876	1.2257	0.8421	1.1847	0.8391
186	1.0223	0.7503	1.1814	0.7966	1.1257	0.7909
187	0.9919	0.7105	1.1693	0.772	1.1137	0.7602
188	0.9863	0.7052	1.1514	0.759	1.0953	0.7552
189	0.9842	0.7001	1.1652	0.7543	1.1041	0.7508
190	0.9867	0.7046	1.1601	0.7584	1.0966	0.7521
191	0.9875	0.711	1.1687	0.7716	1.1162	0.7641
192	0.9826	0.7053	1.1559	0.7603	1.0921	0.7511
193	0.9736	0.6923	1.1511	0.7472	1.0847	0.7385
194	0.971	0.6928	1.1505	0.7524	1.0914	0.7427
195	0.9729	0.6955	1.1503	0.7563	1.0954	0.7484
196	0.9672	0.692	1.1523	0.7499	1.0931	0.7423
197	0.9666	0.6917	1.1524	0.7511	1.0915	0.7424
198	0.9658	0.686	1.1446	0.7451	1.084	0.7394
199	0.9719	0.6899	1.1569	0.7478	1.09	0.7437
200	0.9709	0.6949	1.1559	0.7556	1.0852	0.7431
201	0.9734	0.7028	1.1593	0.7629	1.0987	0.7527
202	0.962	0.6839	1.1606	0.7442	1.1002	0.7404
203	0.9761	0.7042	1.1553	0.758	1.0911	0.753
204	0.9524	0.6748	1.1479	0.7369	1.0792	0.7262
205	0.9577	0.6836	1.1365	0.7423	1.0743	0.7369
206	0.9737	0.7007	1.162	0.7656	1.1101	0.7609
207	0.95	0.6764	1.1373	0.7361	1.0717	0.7268
208	0.9816	0.7078	1.1557	0.7609	1.0897	0.7596
209	0.946	0.6727	1.1389	0.7368	1.069	0.7227
210	0.9446	0.6723	1.1468	0.7371	1.0826	0.7283
211	0.9438	0.6713	1.1313	0.7341	1.0685	0.7275
212	0.9412	0.6675	1.1459	0.7278	1.0823	0.7263
213	1.0175	0.7565	1.1919	0.8053	1.1147	0.8025
214	1.0738	0.8055	1.2536	0.8519	1.218	0.8617
215	1.0695	0.8052	1.2232	0.8545	1.1866	0.8588
216	0.9555	0.6869	1.1432	0.7489	1.0842	0.7477
217	1.0319	0.7608	1.2085	0.8073	1.1335	0.8096
218	0.989	0.7241	1.1586	0.7778	1.1155	0.7813
219	0.9469	0.6779	1.1347	0.7346	1.0824	0.7384
220	0.959	0.6906	1.149	0.746	1.0796	0.7444
221	0.9346	0.6643	1.1338	0.7262	1.0711	0.7232
222	0.941	0.6747	1.1437	0.734	1.0773	0.7311
