epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	6.1853	5.5417	6.3401	5.7262	6.3084	5.6735
1	4.1656	3.3443	4.2897	3.4855	4.2105	3.4052
2	4.1006	3.2638	4.1137	3.2697	4.0286	3.2435
3	3.6681	2.9319	3.7578	3.0262	3.6874	2.9677
4	3.3002	2.6402	3.3365	2.6757	3.2682	2.6499
5	3.0663	2.495	3.1138	2.5374	3.0361	2.5271
6	2.9626	2.3897	2.9848	2.3914	2.8954	2.3823
7	2.8339	2.2586	2.8502	2.2554	2.7582	2.246
8	2.6408	2.0863	2.6574	2.0935	2.5721	2.082
9	2.5118	1.9664	2.5256	1.9794	2.4538	1.9455
10	2.4549	1.9021	2.4578	1.9011	2.4005	1.873
11	2.4157	1.8686	2.4124	1.8641	2.3641	1.8425
12	2.3787	1.7932	2.356	1.7649	2.3118	1.7585
13	2.3658	1.7639	2.3333	1.7295	2.2934	1.729
14	2.3418	1.7773	2.3226	1.7508	2.2822	1.7496
15	2.3274	1.7508	2.3081	1.7239	2.2641	1.7212
16	2.3102	1.7425	2.2959	1.7175	2.2473	1.7148
17	2.2923	1.7242	2.2807	1.7008	2.2281	1.6983
18	2.2723	1.7235	2.2702	1.7051	2.2126	1.7032
19	2.2459	1.6812	2.2457	1.6652	2.1818	1.6639
20	2.2122	1.6633	2.2201	1.6501	2.1497	1.6497
21	2.1893	1.6198	2.1975	1.6036	2.1214	1.6034
22	2.134	1.5886	2.1534	1.5835	2.0678	1.5771
23	2.0846	1.5471	2.1015	1.5414	2.017	1.5343
24	2.0474	1.5454	2.071	1.5516	1.99	1.5314
25	1.9879	1.4747	1.9975	1.4608	1.9235	1.4519
26	1.9817	1.4402	1.9694	1.4035	1.9076	1.4125
27	1.9299	1.405	1.9081	1.3664	1.863	1.3801
28	1.8833	1.4035	1.868	1.387	1.8317	1.3824
29	1.8745	1.4127	1.8535	1.3971	1.8316	1.389
30	1.8388	1.387	1.8159	1.3703	1.8004	1.3658
