epoch:	train_RMSD:	train_MAE:
0	6.9227	6.3043
1	6.5571	5.925
2	4.9385	4.2855
3	4.0379	3.4454
4	3.758	3.1989
5	3.5754	3.0409
6	3.4318	2.9148
7	3.3184	2.8122
8	3.2332	2.7292
9	3.1799	2.6704
10	3.1521	2.6322
11	3.1402	2.6096
12	3.1361	2.5973
13	3.135	2.5914
14	3.1348	2.5895
15	3.1348	2.5892
16	3.1348	2.5896
17	3.1349	2.5908
18	3.1349	2.5914
19	3.1351	2.5925
20	3.135	2.5925
21	3.1349	2.5927
22	3.1344	2.591
23	3.1339	2.5906
24	3.1332	2.5911
25	3.1316	2.5887
26	3.1293	2.5891
27	3.1246	2.5845
28	3.1166	2.5751
29	3.1058	2.5669
30	3.0929	2.5532
31	3.0755	2.5398
32	3.0448	2.5096
33	3.0038	2.4723
34	2.9563	2.4268
35	2.8967	2.37
36	2.8212	2.2951
37	2.7208	2.2032
38	2.5911	2.0822
39	2.4623	1.9603
40	2.3638	1.8602
41	2.2999	1.7694
42	2.2399	1.7062
43	2.2091	1.6823
44	2.1877	1.6306
45	2.1604	1.6355
46	2.1342	1.607
47	2.1181	1.5893
48	2.1155	1.5967
49	2.1016	1.5781
50	2.0914	1.5663
51	2.0832	1.5591
52	2.0751	1.5467
53	2.0745	1.5579
54	2.0624	1.5395
55	2.0599	1.5439
56	2.0498	1.533
57	2.0463	1.5356
58	2.0397	1.5322
59	2.0122	1.5019
60	1.9849	1.4749
61	1.9452	1.4366
62	1.8891	1.3925
63	1.8379	1.3554
64	1.7788	1.3143
65	1.7536	1.2967
66	1.7482	1.2917
67	1.7908	1.3397
68	1.813	1.3262
69	1.697	1.2588
70	1.6696	1.2319
71	1.6813	1.2372
72	1.6722	1.2414
73	1.6553	1.2192
74	1.6487	1.2185
75	1.6318	1.2099
76	1.6317	1.1984
77	1.6049	1.181
78	1.5912	1.1727
79	1.6494	1.2099
80	1.5877	1.1727
81	1.5758	1.1687
82	1.5751	1.1606
83	1.5585	1.1459
84	1.5756	1.1641
85	1.5537	1.1464
86	1.5507	1.1444
87	1.5515	1.1452
88	1.5433	1.1373
89	1.5262	1.1252
90	1.5318	1.1282
91	1.5347	1.1314
92	1.5103	1.1075
93	1.5164	1.1203
94	1.5082	1.1053
95	1.5358	1.1345
96	1.4996	1.1078
97	1.5204	1.1177
98	1.4976	1.0961
99	1.4848	1.0897
100	1.5038	1.1003
101	1.4743	1.0817
102	1.4662	1.072
103	1.4682	1.0708
104	1.4632	1.0742
105	1.465	1.0738
106	1.463	1.0724
107	1.4541	1.0657
108	1.5086	1.1173
109	1.4414	1.0537
110	1.4376	1.0511
111	1.456	1.0684
112	1.4476	1.0633
113	1.4327	1.0489
114	1.4198	1.0357
115	1.4229	1.0421
116	1.4099	1.0305
117	1.4181	1.0333
118	1.4017	1.0235
119	1.4203	1.0387
120	1.4545	1.0662
121	1.465	1.0854
122	1.3904	1.0155
123	1.4477	1.067
124	1.3807	1.0081
125	1.4399	1.0584
126	1.4456	1.0707
127	1.4045	1.0296
128	1.3708	0.9971
129	1.455	1.0736
130	1.3924	1.0176
131	1.3598	0.9908
132	1.3545	0.9844
133	1.3516	0.9821
134	1.3449	0.9794
135	1.3567	0.9888
136	1.3356	0.9679
137	1.3495	0.9786
138	1.338	0.9692
139	1.3321	0.9653
140	1.3909	1.0195
141	1.3203	0.9581
142	1.3338	0.9647
143	1.3256	0.9594
144	1.3291	0.966
145	1.3044	0.9426
146	1.3641	0.9911
147	1.3291	0.9662
148	1.3015	0.9398
149	1.3143	0.9506
150	1.3509	0.9894
151	1.329	0.963
152	1.2959	0.9376
153	1.2894	0.9296
154	1.2804	0.9221
155	1.2768	0.9209
156	1.2825	0.9214
157	1.2707	0.9136
158	1.2895	0.9289
159	1.3	0.9408
160	1.2729	0.9155
161	1.284	0.9248
162	1.2607	0.906
163	1.2674	0.9105
164	1.2555	0.9004
165	1.2485	0.8934
166	1.2731	0.9171
167	1.2672	0.9101
