epoch:	train_RMSD:	train_MAE:
0	6.919	6.303
1	6.7705	6.1485
2	6.2629	5.6204
3	4.9035	4.2453
4	4.1254	3.5188
5	3.8371	3.2618
6	3.6699	3.1172
7	3.5408	3.0058
8	3.4332	2.9112
9	3.3427	2.8303
10	3.2681	2.7614
11	3.2102	2.7044
12	3.1699	2.661
13	3.1453	2.6302
14	3.1315	2.6089
15	3.1248	2.5947
16	3.122	2.5861
17	3.1209	2.5809
18	3.1206	2.5783
19	3.1206	2.5779
20	3.1207	2.5797
21	3.1207	2.5792
22	3.1207	2.5799
23	3.1208	2.5802
24	3.1207	2.5801
25	3.1208	2.5807
26	3.1207	2.5805
27	3.1208	2.5814
28	3.1206	2.5808
29	3.1204	2.5803
30	3.1202	2.58
31	3.1201	2.5802
32	3.1195	2.5788
33	3.1189	2.5794
34	3.1171	2.576
35	3.1143	2.5751
36	3.1097	2.5705
37	3.1047	2.5661
38	3.1003	2.5621
39	3.096	2.5584
40	3.0919	2.5542
41	3.085	2.5507
42	3.0717	2.5385
43	3.0518	2.5178
44	3.0272	2.495
45	2.9993	2.4679
46	2.9708	2.4402
47	2.9388	2.4086
48	2.9008	2.3723
49	2.8612	2.3384
50	2.8016	2.279
51	2.685	2.1784
52	2.5776	2.08
53	2.4554	1.9691
54	2.3766	1.8851
55	2.3107	1.7978
56	2.2666	1.7569
57	2.2257	1.7
58	2.211	1.6628
59	2.1755	1.6409
60	2.1689	1.6403
61	2.1403	1.608
62	2.1222	1.5868
63	2.1044	1.5843
64	2.1036	1.5919
65	2.0758	1.5654
66	2.0651	1.5543
67	2.0478	1.5427
68	2.0295	1.5144
69	2.0176	1.5054
70	2.0123	1.4951
71	2.0022	1.4838
72	1.9986	1.4811
73	1.9984	1.4847
74	1.9883	1.4713
75	1.9815	1.4626
76	1.9762	1.462
77	1.9927	1.4773
78	1.9973	1.4731
79	1.9737	1.4576
80	1.973	1.4607
81	1.957	1.4357
82	1.9432	1.4245
83	1.9391	1.4244
84	1.9159	1.4026
85	1.9261	1.4189
86	1.9167	1.4022
87	1.9261	1.4155
88	1.8919	1.3863
89	1.8834	1.3857
90	1.869	1.3709
91	1.8158	1.3381
92	1.8025	1.3254
93	1.7662	1.3091
94	1.7438	1.2851
95	1.6954	1.2613
96	1.65	1.2238
97	1.6678	1.2469
98	1.7153	1.2787
99	1.6217	1.2044
100	1.6084	1.1915
101	1.5893	1.1786
102	1.5793	1.1712
103	1.5616	1.1581
104	1.5804	1.1749
105	1.6082	1.1995
106	1.5564	1.1506
107	1.572	1.1748
108	1.5263	1.1351
109	1.5224	1.1237
110	1.5569	1.1613
111	1.6135	1.1997
112	1.517	1.1219
113	1.5598	1.1567
114	1.512	1.1186
115	1.5157	1.1192
116	1.5006	1.1113
117	1.539	1.1365
118	1.4993	1.1038
119	1.5266	1.1362
120	1.4835	1.0923
121	1.4901	1.0986
122	1.48	1.0883
123	1.4711	1.0859
124	1.4654	1.0781
125	1.4762	1.0858
126	1.5147	1.1228
127	1.4623	1.0749
128	1.4516	1.0653
129	1.4937	1.106
130	1.4443	1.0626
131	1.4384	1.0548
132	1.4385	1.053
133	1.4679	1.0867
134	1.4334	1.0495
135	1.4375	1.051
136	1.426	1.0496
137	1.4131	1.0342
138	1.4094	1.0308
139	1.4064	1.032
140	1.4097	1.0322
141	1.4274	1.0492
142	1.4263	1.0452
143	1.4322	1.062
144	1.4338	1.0477
145	1.4392	1.0599
146	1.409	1.0476
147	1.406	1.0223
148	1.3841	1.0153
149	1.3966	1.0173
150	1.373	0.9987
151	1.3875	1.0225
152	1.3874	1.0097
153	1.3777	1.0085
154	1.3772	1.0166
155	1.3589	0.9873
156	1.3701	0.997
157	1.386	1.0083
158	1.3918	1.0278
159	1.3579	0.9804
160	1.3441	0.9757
161	1.368	1.0121
162	1.3804	1.0011
163	1.3565	0.9892
164	1.3512	0.9887
165	1.3419	0.9758
166	1.3302	0.9628
167	1.3409	0.9788
168	1.3474	0.9905
169	1.3839	1.003
170	1.3245	0.9578
171	1.3238	0.9646
172	1.3235	0.9543
173	1.3147	0.9528
174	1.3131	0.9466
175	1.3069	0.9468
176	1.3229	0.9705
177	1.4109	1.0281
178	1.3336	0.961
179	1.328	0.9828
180	1.3012	0.9401
181	1.3124	0.9431
182	1.3129	0.9617
183	1.3192	0.9706
184	1.2912	0.9274
185	1.2865	0.9285
186	1.2819	0.9292
187	1.2965	0.9336
188	1.2762	0.9205
189	1.2708	0.9177
190	1.2759	0.926
191	1.2846	0.9396
192	1.2777	0.9169
193	1.2682	0.9214
194	1.2765	0.9265
195	1.2586	0.9092
196	1.2563	0.9104
197	1.2611	0.9149
198	1.2478	0.9013
199	1.2458	0.9022
200	1.2437	0.8959
201	1.2822	0.9332
202	1.2411	0.8915
203	1.245	0.9086
204	1.2486	0.9083
205	1.2288	0.884
206	1.2502	0.9097
207	1.2242	0.8827
208	1.2327	0.8949
209	1.239	0.9034
210	1.2455	0.8938
211	1.2512	0.9164
212	1.2282	0.8958
213	1.239	0.8887
214	1.2843	0.9463
215	1.2341	0.893
216	1.2344	0.886
217	1.2072	0.8706
218	1.2183	0.8883
219	1.202	0.8599
220	1.2294	0.8849
221	1.2026	0.8698
222	1.1978	0.8628
223	1.209	0.8665
224	1.1905	0.8575
225	1.2033	0.8787
226	1.2059	0.8631
227	1.2023	0.8701
228	1.1916	0.8584
229	1.182	0.8461
230	1.1902	0.8585
231	1.1764	0.8425
232	1.1738	0.8457
233	1.1973	0.8784
234	1.1726	0.8396
235	1.1775	0.8437
236	1.1753	0.8519
237	1.1699	0.841
238	1.1772	0.8419
239	1.1592	0.8293
240	1.1903	0.8635
241	1.1716	0.847
242	1.1609	0.8374
243	1.149	0.8234
244	1.2174	0.8839
245	1.1839	0.8497
246	1.1706	0.857
247	1.1508	0.8211
248	1.1651	0.8341
249	1.1496	0.8291
250	1.1587	0.8401
251	1.1514	0.8222
252	1.1376	0.8115
253	1.1418	0.8251
254	1.133	0.8087
255	1.129	0.8055
256	1.1328	0.8114
257	1.1249	0.8054
258	1.1633	0.8312
259	1.1398	0.8255
260	1.1205	0.7982
261	1.1241	0.8003
262	1.1141	0.7937
263	1.1154	0.7961
264	1.1262	0.8144
265	1.1144	0.7948
266	1.124	0.8065
267	1.1167	0.8035
268	1.1033	0.7842
269	1.1047	0.7912
270	1.0955	0.7801
271	1.1019	0.7875
272	1.0942	0.7787
273	1.1221	0.8011
274	1.1372	0.8252
275	1.114	0.7951
276	1.0892	0.7773
277	1.0876	0.7746
278	1.0955	0.7805
279	1.0899	0.7789
280	1.0827	0.7742
281	1.084	0.7722
282	1.0767	0.7662
283	1.0775	0.7718
284	1.0791	0.7759
285	1.0713	0.7638
286	1.0814	0.7718
287	1.0737	0.7667
288	1.0623	0.7535
289	1.068	0.7582
290	1.0738	0.766
291	1.0623	0.7552
292	1.0697	0.7606
293	1.0911	0.795
294	1.0575	0.7511
295	1.0658	0.7603
296	1.0516	0.7476
297	1.0789	0.7801
298	1.0504	0.7469
299	1.0578	0.7547
300	1.0489	0.7448
301	1.0434	0.7429
302	1.0405	0.739
303	1.0537	0.7555
304	1.0359	0.7335
305	1.0351	0.731
306	1.0541	0.7543
307	1.0388	0.7356
308	1.0364	0.7354
309	1.0303	0.7294
310	1.0369	0.7341
311	1.0357	0.7368
312	1.0224	0.7249
313	1.0167	0.7183
314	1.0273	0.7279
315	1.0114	0.7144
316	1.0146	0.7177
317	1.0316	0.7361
318	1.012	0.7152
319	1.0168	0.7199
320	1.0246	0.7246
321	1.04	0.7482
322	1.0119	0.7171
323	0.9993	0.7071
324	1.0173	0.7291
325	1.0276	0.7438
326	1.0005	0.7121
327	1.06	0.771
328	1.0286	0.7344
329	1.0018	0.7114
330	1.0406	0.7494
331	1.0071	0.7145
332	0.9852	0.6958
333	0.9813	0.6911
334	0.988	0.6983
335	0.9873	0.6975
336	0.9753	0.6867
337	0.979	0.6903
338	0.9826	0.6952
339	1.002	0.7139
340	0.9926	0.7049
341	1.0194	0.7378
342	0.994	0.7066
343	0.9741	0.6909
344	0.9671	0.683
