epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	5.7482	5.0744	5.9024	5.2629	5.8653	5.2021
1	3.9941	3.1763	4.0643	3.252	3.9686	3.1895
2	3.9394	3.1362	3.9562	3.149	3.8765	3.1235
3	3.5999	2.8795	3.6902	2.9741	3.625	2.9237
4	3.2271	2.5816	3.2528	2.6041	3.1879	2.5877
5	3.0444	2.5002	3.0973	2.5352	3.0197	2.5338
6	3.012	2.3941	3.0197	2.3798	2.9267	2.3661
7	2.9122	2.3869	2.9567	2.4126	2.8637	2.4001
8	2.735	2.155	2.7477	2.1555	2.6532	2.1466
9	2.5458	1.9666	2.5519	1.9664	2.4742	1.9573
10	2.4529	1.8556	2.4477	1.835	2.3866	1.8267
11	2.4121	1.7991	2.3972	1.7776	2.3509	1.7701
12	2.376	1.8003	2.3667	1.782	2.3261	1.7752
13	2.3712	1.8201	2.3678	1.8045	2.3285	1.798
14	2.3653	1.8197	2.3634	1.8036	2.3229	1.7977
15	2.3475	1.756	2.3317	1.7327	2.2884	1.7281
16	2.3379	1.7473	2.3251	1.7251	2.28	1.7207
17	2.3265	1.7606	2.3231	1.7416	2.2761	1.7376
18	2.3126	1.738	2.3063	1.7192	2.2582	1.7152
19	2.3008	1.7125	2.2898	1.6929	2.2399	1.6885
20	2.2831	1.7322	2.2865	1.7199	2.2316	1.7141
21	2.263	1.7163	2.2736	1.7103	2.2131	1.7017
22	2.2325	1.6573	2.2388	1.6436	2.1719	1.6398
23	2.2009	1.6251	2.2146	1.614	2.1394	1.6086
24	2.1613	1.5909	2.1849	1.5866	2.1008	1.578
25	2.1145	1.5541	2.1428	1.5504	2.0554	1.5419
26	2.0558	1.5354	2.095	1.549	2.0041	1.5317
27	2.0018	1.4764	2.0165	1.4655	1.9402	1.4577
28	2.0412	1.5675	2.0588	1.582	1.9955	1.5537
29	1.9665	1.5118	1.9686	1.5109	1.923	1.4949
30	1.8869	1.4091	1.8615	1.3792	1.829	1.377
31	1.8472	1.3778	1.8209	1.3429	1.7912	1.3475
32	1.8696	1.4358	1.8608	1.4299	1.8347	1.4136
33	1.7939	1.3341	1.7633	1.2936	1.7422	1.2987
34	1.7704	1.3066	1.7372	1.2605	1.7186	1.2708
35	1.7539	1.3204	1.7438	1.2992	1.717	1.296
36	1.7414	1.3172	1.7447	1.3129	1.7124	1.2991
37	1.6929	1.254	1.6679	1.2108	1.6515	1.2306
38	1.6568	1.2357	1.649	1.2056	1.6284	1.2207
39	1.6343	1.2179	1.6397	1.2031	1.6137	1.2111
40	1.6184	1.1993	1.6083	1.1614	1.5903	1.1844
41	1.583	1.1815	1.5992	1.1749	1.5756	1.1826
