epoch:	train_RMSD:	train_MAE:
0	7.0257	6.1157
1	6.44	5.4419
2	4.6517	3.3953
3	4.1168	2.9531
4	3.9019	2.848
5	3.749	2.8109
6	3.6326	2.8046
7	3.5493	2.815
8	3.5008	2.8338
9	3.4804	2.853
10	3.4741	2.8686
11	3.4732	2.8786
12	3.4733	2.8829
13	3.4734	2.8841
14	3.4734	2.8833
15	3.4734	2.8833
16	3.4733	2.8821
17	3.4731	2.8793
18	3.4731	2.8793
19	3.4732	2.8818
20	3.4732	2.8817
21	3.4731	2.8802
22	3.473	2.8805
23	3.4727	2.8797
24	3.4725	2.8806
25	3.4722	2.8796
26	3.4718	2.8799
27	3.4713	2.8778
28	3.4708	2.8774
29	3.47	2.8779
30	3.4685	2.8747
31	3.4661	2.8724
32	3.4619	2.867
33	3.4558	2.8606
34	3.4468	2.8528
35	3.4349	2.8411
36	3.4167	2.8214
37	3.3896	2.7898
38	3.3385	2.7226
39	3.2562	2.6158
40	3.1002	2.3998
41	2.9086	2.1329
42	2.7346	1.9085
43	2.6133	1.758
44	2.5571	1.7013
45	2.5163	1.6607
46	2.4976	1.641
47	2.4716	1.6219
48	2.4436	1.6034
49	2.3948	1.5675
50	2.3829	1.561
51	2.3684	1.5448
52	2.3619	1.5443
53	2.3463	1.5277
54	2.3245	1.5104
55	2.3073	1.4882
56	2.3048	1.4988
57	2.2867	1.4729
58	2.2713	1.4606
59	2.2577	1.4519
60	2.2522	1.4525
61	2.235	1.4242
62	2.2208	1.4088
63	2.201	1.3986
64	2.1903	1.3878
65	2.16	1.3795
66	2.1233	1.3539
67	2.0741	1.329
68	2.0832	1.3634
69	2.0415	1.2948
70	2.0024	1.2687
71	1.9996	1.2598
72	1.9583	1.248
73	1.9429	1.2427
74	1.9313	1.2357
75	1.9149	1.2193
76	1.8905	1.1989
77	1.8605	1.1607
78	1.8541	1.1514
79	1.8304	1.1439
80	1.8672	1.1767
81	1.807	1.1236
82	1.8677	1.2328
83	1.7912	1.1319
84	1.7584	1.0929
85	1.7388	1.0716
86	1.7233	1.0699
87	1.7122	1.062
88	1.7158	1.0798
89	1.7998	1.1851
90	1.7003	1.0758
91	1.7337	1.1108
92	1.7512	1.1465
93	1.6618	1.0294
94	1.6705	1.0359
95	1.6443	1.0127
96	1.6331	1.0078
97	1.6501	1.0367
98	1.7046	1.109
99	1.6229	1.0107
100	1.6063	0.9914
101	1.6414	1.0176
102	1.6159	1.0015
103	1.5887	0.9809
104	1.5896	0.9768
105	1.5806	0.9722
106	1.5684	0.971
107	1.5594	0.9586
108	1.5558	0.9576
109	1.5596	0.9579
110	1.5683	0.9677
111	1.5404	0.9442
112	1.5332	0.933
113	1.5364	0.9356
114	1.5245	0.9271
115	1.5393	0.9395
116	1.5196	0.9328
117	1.5462	0.9561
