epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	6.2591	5.6266	6.4145	5.8114	6.3835	5.7589
1	4.2554	3.4442	4.3867	3.5985	4.3185	3.5235
2	4.366	3.4812	4.3354	3.4307	4.2604	3.4308
3	3.5062	2.8002	3.5777	2.8717	3.5136	2.8301
4	3.252	2.6114	3.3118	2.6671	3.2488	2.6521
5	3.0772	2.4854	3.1014	2.4923	3.0262	2.4918
6	3.0528	2.5108	3.0992	2.533	3.0123	2.5275
7	3.0201	2.4422	3.044	2.4411	2.956	2.4341
8	2.9668	2.4174	3.0044	2.4339	2.9186	2.4281
9	2.8662	2.2904	2.8803	2.289	2.7945	2.2838
10	2.6839	2.1183	2.6927	2.122	2.6111	2.1149
11	2.4998	1.9395	2.497	1.9331	2.4305	1.9184
12	2.4116	1.8286	2.398	1.8104	2.3525	1.7984
13	2.3968	1.79	2.3743	1.7665	2.3372	1.7581
14	2.3751	1.8145	2.3682	1.8	2.3212	1.7834
15	2.3572	1.791	2.3498	1.7757	2.2964	1.7606
16	2.3453	1.7839	2.3473	1.7731	2.2862	1.7562
17	2.3308	1.7492	2.3348	1.7407	2.2664	1.7204
18	2.3137	1.7392	2.3155	1.7294	2.2493	1.7123
19	2.2968	1.7344	2.3031	1.7301	2.2341	1.7106
20	2.2833	1.6939	2.2829	1.6851	2.2113	1.6663
21	2.2557	1.6813	2.2599	1.6764	2.1851	1.6548
22	2.2265	1.6829	2.2507	1.692	2.1659	1.6636
23	2.192	1.6553	2.2236	1.6694	2.1302	1.6357
24	2.1436	1.5936	2.1732	1.6041	2.0724	1.5676
25	2.1074	1.5456	2.131	1.5472	2.0306	1.5148
26	2.0635	1.5148	2.087	1.5167	1.991	1.4843
27	2.0552	1.5457	2.0806	1.5607	2.004	1.5201
28	2.0056	1.4928	2.0163	1.4961	1.9498	1.4614
29	1.9573	1.428	1.9546	1.4167	1.8944	1.4006
30	1.9128	1.4021	1.9063	1.3899	1.8588	1.3823
31	1.9517	1.4747	1.9432	1.4769	1.9171	1.4601
32	1.8437	1.3508	1.8205	1.3257	1.7908	1.3324
33	1.8039	1.3277	1.781	1.3067	1.7587	1.3139
34	1.7741	1.2994	1.7489	1.2668	1.7251	1.2886
35	1.7791	1.3306	1.739	1.3113	1.7409	1.3115
36	1.7124	1.2622	1.6714	1.2308	1.6685	1.2448
37	1.7151	1.2606	1.6908	1.2287	1.6635	1.2449
38	1.6598	1.2329	1.642	1.2076	1.622	1.2241
39	1.6596	1.2361	1.6367	1.218	1.6285	1.2279
40	1.6048	1.1828	1.5963	1.1572	1.5715	1.1786
41	1.5787	1.1712	1.5839	1.1563	1.5559	1.1721
42	1.5589	1.1513	1.5733	1.1368	1.5313	1.1559
43	1.5944	1.2032	1.598	1.2004	1.5787	1.1963
44	1.5475	1.1419	1.5599	1.1237	1.5148	1.1442
45	1.5093	1.1145	1.5364	1.1092	1.4894	1.1202
46	1.5034	1.1192	1.5273	1.1184	1.4877	1.1231
47	1.51	1.1298	1.5358	1.1381	1.5016	1.1345
48	1.4927	1.0982	1.5197	1.0913	1.4684	1.0985
49	1.4948	1.1161	1.533	1.1324	1.4942	1.1267
50	1.4701	1.0814	1.5054	1.0852	1.4482	1.0833
51	1.5912	1.2132	1.6174	1.2354	1.5942	1.2127
52	1.51	1.1377	1.5399	1.1596	1.5129	1.1435
53	1.5512	1.1763	1.5906	1.2064	1.5624	1.1866
54	1.4621	1.0849	1.5026	1.1052	1.4632	1.0958
55	1.4354	1.0504	1.482	1.0598	1.4222	1.0536
56	1.4248	1.0445	1.4754	1.0627	1.4157	1.0493
57	1.4131	1.0331	1.463	1.0473	1.4029	1.0391
58	1.4028	1.0242	1.4593	1.0461	1.3983	1.0342
59	1.4039	1.0229	1.463	1.0379	1.3957	1.0277
60	1.3988	1.0251	1.4526	1.0498	1.402	1.0359
61	1.3912	1.0106	1.4584	1.0382	1.3927	1.0221
62	1.4705	1.1048	1.5267	1.1389	1.493	1.1167
63	1.3826	1.0103	1.4435	1.0397	1.3916	1.0226
64	1.3965	1.0121	1.4631	1.0283	1.3895	1.0164
65	1.3764	1.0085	1.4395	1.0412	1.3915	1.021
66	1.4	1.0346	1.4702	1.0718	1.4261	1.0527
67	1.356	0.984	1.4234	1.0087	1.3677	0.9945
68	1.349	0.9765	1.4187	1.0072	1.3554	0.9869
69	1.345	0.97	1.4189	1.002	1.3503	0.9796
70	1.4144	1.0514	1.4783	1.0888	1.4464	1.0722
71	1.355	0.9813	1.4292	1.0146	1.3628	0.9924
72	1.3433	0.9785	1.4153	1.0187	1.3662	0.9971
73	1.3321	0.9655	1.4003	0.9989	1.3501	0.9779
74	1.3208	0.9535	1.3966	0.9897	1.3414	0.9701
75	1.3255	0.9656	1.4004	1.0062	1.3539	0.9851
76	1.3167	0.9491	1.395	0.9809	1.3361	0.9587
77	1.3182	0.9579	1.393	1.0011	1.3437	0.975
78	1.3264	0.9654	1.4003	0.992	1.3408	0.9719
79	1.3015	0.9382	1.3765	0.9709	1.3236	0.951
80	1.3151	0.9558	1.4003	0.9987	1.35	0.9792
81	1.3046	0.9432	1.3849	0.9789	1.3325	0.959
82	1.2951	0.9408	1.3758	0.9796	1.3298	0.9575
83	1.2904	0.9353	1.3722	0.9738	1.3197	0.9495
84	1.2885	0.9325	1.3713	0.9752	1.3218	0.9518
85	1.2768	0.9161	1.3603	0.9527	1.3013	0.9282
86	1.2785	0.9267	1.3659	0.9742	1.3166	0.9477
87	1.28	0.9285	1.3614	0.9684	1.3091	0.943
88	1.2784	0.9252	1.3676	0.9738	1.3187	0.9492
