epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
100	1.475	1.0076	1.7854	1.035	1.5721	1.0541
101	1.4668	1.0004	1.7683	1.0092	1.5568	1.0435
102	1.4433	0.9827	1.756	0.9997	1.5431	1.0325
103	1.4408	0.9911	1.7686	1.0193	1.5521	1.0395
104	1.4548	1.0069	1.7899	1.0317	1.5717	1.0558
105	1.5062	1.0604	1.8108	1.0841	1.6119	1.1042
106	1.44	0.9878	1.739	1.0095	1.5372	1.0238
107	1.4053	0.9677	1.7234	0.9902	1.5105	1.0092
108	1.4422	1.0117	1.7876	1.052	1.5795	1.065
109	1.4231	1.0058	1.7517	1.0371	1.5523	1.0604
110	1.4721	1.0505	1.7633	1.0733	1.574	1.0977
111	1.4106	1.0033	1.7316	1.0371	1.5315	1.0501
112	1.3931	0.9808	1.7186	1.0005	1.5158	1.021
113	1.3964	0.9882	1.7252	1.0267	1.5222	1.0337
114	1.3817	0.9739	1.7066	0.99	1.5036	1.02
115	1.4432	1.0437	1.7642	1.084	1.5749	1.0992
116	1.4774	1.0768	1.791	1.1146	1.6028	1.1302
117	1.3426	0.9431	1.6732	0.9792	1.4675	0.9943
118	1.3421	0.9495	1.678	0.9867	1.4685	0.9953
119	1.3412	0.946	1.6986	0.9844	1.4794	0.9897
120	1.3268	0.9419	1.6623	0.9771	1.4582	0.9933
121	1.3372	0.9365	1.6551	0.9607	1.46	0.9784
122	1.3268	0.9341	1.6577	0.9676	1.4538	0.9768
123	1.3001	0.9183	1.6328	0.9445	1.4331	0.9642
124	1.2982	0.9153	1.6482	0.9515	1.4438	0.9661
125	1.2999	0.9305	1.6449	0.9667	1.4459	0.9832
126	1.2891	0.9068	1.6278	0.9433	1.4218	0.9523
127	1.2912	0.9116	1.6207	0.9359	1.4222	0.9523
128	1.3885	0.9876	1.7027	1.0165	1.5095	1.0237
129	1.4865	1.0779	1.8044	1.0953	1.6139	1.1022
130	1.3343	0.9417	1.6545	0.9668	1.4585	0.9739
131	1.3322	0.9562	1.655	0.9924	1.4602	0.9959
132	1.2666	0.9041	1.6094	0.9428	1.4091	0.9515
133	1.2884	0.912	1.6201	0.9387	1.4237	0.9493
134	1.2652	0.8948	1.5966	0.9275	1.4011	0.9354
135	1.2553	0.9003	1.6078	0.9457	1.4114	0.9543
136	1.274	0.901	1.6098	0.9287	1.4156	0.9393
137	1.2455	0.8875	1.5898	0.9287	1.3901	0.9352
138	1.2154	0.8582	1.5749	0.9012	1.3759	0.9088
139	1.2212	0.8678	1.5752	0.9127	1.3745	0.9174
140	1.2326	0.8687	1.5724	0.9025	1.3739	0.9071
141	1.2205	0.8627	1.5643	0.9026	1.3594	0.9037
142	1.2283	0.8764	1.5724	0.9173	1.3694	0.9186
143	1.2296	0.8675	1.5706	0.91	1.3703	0.9066
144	1.2271	0.8782	1.575	0.9267	1.3762	0.9262
145	1.3107	0.9326	1.6738	0.9778	1.472	0.9732
146	1.2283	0.865	1.5729	0.9092	1.3737	0.9075
147	1.3328	0.972	1.651	1.018	1.464	1.0192
148	1.3067	0.966	1.6414	1.0277	1.4465	1.0247
149	1.1888	0.8413	1.5408	0.8888	1.3357	0.8866
150	1.1763	0.8313	1.5347	0.8791	1.3298	0.8778
151	1.1754	0.8345	1.538	0.8876	1.3354	0.8882
152	1.1863	0.8388	1.5373	0.883	1.3347	0.8807
153	1.1957	0.8463	1.5517	0.8944	1.3394	0.8833
154	1.1855	0.8442	1.5406	0.8963	1.3393	0.8985
155	1.2081	0.8687	1.5587	0.9258	1.3609	0.9249
156	1.1802	0.8364	1.5392	0.8788	1.34	0.8779
157	1.1876	0.8626	1.5461	0.9231	1.3475	0.9186
158	1.1478	0.8129	1.5105	0.8657	1.3052	0.8613
159	1.1872	0.8428	1.5243	0.8876	1.3297	0.8805
160	1.1898	0.8523	1.5239	0.8962	1.3365	0.8933
161	1.1576	0.8226	1.5259	0.8732	1.318	0.8655
162	1.1501	0.8183	1.5183	0.8715	1.3098	0.8643
163	1.1614	0.8248	1.5096	0.8751	1.3143	0.8746
164	1.1529	0.8147	1.501	0.8588	1.3071	0.8575
165	1.1309	0.802	1.4923	0.8545	1.2944	0.8516
166	1.2746	0.9418	1.6045	1.0051	1.4174	1.0009
167	1.1865	0.8529	1.5341	0.9075	1.3397	0.9114
168	1.1641	0.8301	1.5275	0.8765	1.3242	0.873
169	1.1338	0.8054	1.501	0.8641	1.2862	0.8562
170	1.146	0.8102	1.5071	0.8623	1.2956	0.8508
171	1.1807	0.8501	1.5322	0.9145	1.3264	0.9061
172	1.1435	0.8068	1.4926	0.8539	1.2892	0.8428
173	1.1244	0.7972	1.4899	0.8513	1.2796	0.8401
174	1.1778	0.8648	1.527	0.9242	1.3374	0.9238
175	1.1639	0.8227	1.5033	0.8674	1.3089	0.856
176	1.1327	0.8044	1.4948	0.8603	1.2905	0.859
177	1.129	0.8037	1.4987	0.8604	1.2887	0.848
178	1.1582	0.8398	1.5201	0.9039	1.3197	0.899
179	1.1087	0.784	1.4819	0.8408	1.2708	0.8316
180	1.1272	0.8026	1.4926	0.864	1.2836	0.8599
181	1.1445	0.8113	1.4988	0.8658	1.2936	0.8538
182	1.1016	0.7753	1.4729	0.836	1.2602	0.8248
183	1.1741	0.8597	1.5255	0.9292	1.3235	0.9163
184	1.1736	0.8452	1.5368	0.8956	1.3226	0.878
185	1.1061	0.7798	1.4672	0.8363	1.26	0.8287
186	1.1335	0.8084	1.4733	0.8577	1.2788	0.8478
187	1.1214	0.8071	1.4863	0.876	1.2799	0.862
188	1.0951	0.7808	1.4772	0.8469	1.2685	0.8344
189	1.1422	0.8056	1.4793	0.857	1.2848	0.8438
190	1.1366	0.8137	1.4921	0.878	1.2875	0.868
191	1.1159	0.8023	1.4964	0.8687	1.2784	0.8466
192	1.1806	0.8604	1.5155	0.9174	1.3302	0.9093
193	1.2666	0.9382	1.5948	1.0089	1.4122	0.9991
194	1.1477	0.8303	1.4933	0.8951	1.2997	0.884
195	1.1436	0.8202	1.4893	0.8711	1.2864	0.8565
196	1.0834	0.7654	1.4577	0.8272	1.2424	0.8119
197	1.0765	0.7641	1.4476	0.8317	1.2301	0.8124
