epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	5.626	4.4255	5.6553	4.3806	5.6588	4.4538
1	4.5613	3.4799	4.5686	3.3537	4.8619	3.601
2	4.1098	3.1421	4.1323	3.027	4.2684	3.209
3	3.8286	2.9577	3.8769	2.8552	3.9209	2.9837
4	3.5358	2.8905	3.6265	2.8178	3.5873	2.8956
5	3.4901	2.9245	3.5977	2.8805	3.5081	2.9038
6	3.4763	2.9118	3.5822	2.8694	3.4923	2.8911
7	3.4662	2.8838	3.5662	2.8325	3.4899	2.8715
8	3.4552	2.8498	3.5545	2.8007	3.4737	2.8351
9	3.4279	2.838	3.5276	2.7895	3.4427	2.8208
10	3.3849	2.8105	3.4846	2.7609	3.3982	2.7936
11	3.3185	2.7124	3.4159	2.6546	3.3372	2.7025
12	3.2758	2.6041	3.3726	2.5465	3.2986	2.6069
13	3.2256	2.5512	3.3227	2.4969	3.2489	2.5587
14	3.1611	2.4847	3.2616	2.4356	3.1855	2.4937
15	3.1092	2.3812	3.2161	2.3405	3.1401	2.3994
16	3.0604	2.4165	3.1602	2.3733	3.1118	2.4423
17	3.2242	2.5466	3.3231	2.5261	3.3009	2.5893
18	3.2561	2.3709	3.3952	2.3686	3.2864	2.3899
19	2.8808	2.2111	3.0064	2.1798	2.9385	2.2522
20	2.8804	2.1983	3.002	2.1803	2.931	2.2394
21	2.7987	2.1162	2.9205	2.092	2.8384	2.1459
22	2.647	1.8887	2.7845	1.8649	2.69	1.9238
23	2.6396	1.8351	2.7796	1.8056	2.6733	1.8594
24	2.5763	1.7728	2.7168	1.7422	2.6	1.7912
25	2.5707	1.8214	2.7058	1.7915	2.5926	1.8346
26	2.5389	1.7556	2.6761	1.7345	2.5557	1.7661
27	2.4484	1.6479	2.6012	1.6207	2.4634	1.6634
28	2.3946	1.5852	2.5496	1.559	2.4152	1.5993
29	2.3899	1.5737	2.5456	1.5529	2.4105	1.5775
30	2.3452	1.5437	2.5049	1.5138	2.3519	1.5431
31	2.2933	1.4933	2.4489	1.4613	2.3049	1.4962
32	2.2796	1.485	2.4379	1.453	2.2867	1.4926
33	2.195	1.4293	2.3663	1.4029	2.2087	1.4367
34	2.1664	1.4348	2.3524	1.4117	2.1851	1.4398
35	2.0859	1.3657	2.2801	1.3426	2.099	1.3798
36	2.2201	1.5105	2.4397	1.5126	2.2616	1.5265
37	2.0049	1.3169	2.2431	1.3157	2.05	1.3502
38	2.0933	1.3997	2.3341	1.4066	2.1388	1.4226
39	1.9853	1.313	2.2237	1.3068	2.0327	1.3353
40	2.0136	1.3636	2.2413	1.3613	2.038	1.3895
41	1.9462	1.3081	2.1853	1.3099	1.969	1.329
42	1.8709	1.242	2.1326	1.242	1.9343	1.2778
43	1.9234	1.3155	2.1681	1.3199	1.9636	1.3447
44	1.8144	1.2104	2.0904	1.2225	1.8809	1.2443
45	1.7959	1.1939	2.0686	1.1993	1.8701	1.2323
46	1.797	1.2098	2.0699	1.2088	1.8805	1.252
47	1.7714	1.1772	2.0354	1.1797	1.8369	1.2166
48	1.8304	1.2558	2.0976	1.2646	1.888	1.2828
49	1.7639	1.1926	2.0382	1.2034	1.819	1.2207
50	1.7494	1.1717	2.0343	1.1844	1.8256	1.2119
51	1.762	1.1839	2.048	1.1962	1.8412	1.2258
52	1.6956	1.1431	1.9909	1.1617	1.7737	1.1835
53	1.7502	1.1777	2.0451	1.1966	1.8317	1.2208
54	1.6817	1.1308	1.9779	1.1492	1.7531	1.1684
55	1.6785	1.1302	1.9734	1.1436	1.7607	1.171
56	1.6488	1.1083	1.9463	1.1244	1.7277	1.1497
57	1.6438	1.1009	1.9446	1.1206	1.7218	1.1418
58	1.6818	1.1325	1.975	1.1521	1.7606	1.174
59	1.6879	1.1626	1.9734	1.1744	1.7604	1.1972
60	1.6197	1.0851	1.9216	1.1072	1.701	1.131
61	1.7429	1.2067	2.0246	1.2254	1.831	1.2473
62	1.6126	1.0965	1.9024	1.1001	1.7051	1.1407
63	1.6196	1.0989	1.91	1.1107	1.6972	1.1405
64	1.5992	1.0808	1.8937	1.0948	1.6851	1.1262
