epoch:	train_RMSD:	train_MAE:
0	7.0257	6.1157
1	6.44	5.4419
2	4.6517	3.3953
3	4.1168	2.9531
4	3.9019	2.848
5	3.749	2.8109
6	3.6326	2.8046
7	3.5493	2.815
8	3.5008	2.8338
9	3.4804	2.853
10	3.4741	2.8686
11	3.4732	2.8786
12	3.4733	2.8827
13	3.4735	2.8847
14	3.4734	2.8838
15	3.4732	2.8818
16	3.4732	2.8799
17	3.4731	2.8775
18	3.4731	2.8801
19	3.4733	2.8835
20	3.4733	2.883
21	3.4731	2.8801
22	3.4729	2.8803
23	3.4727	2.8792
24	3.4725	2.8808
25	3.4722	2.8799
26	3.4718	2.8804
27	3.4713	2.878
28	3.4708	2.8775
29	3.47	2.8778
30	3.4685	2.8746
31	3.466	2.8721
32	3.4617	2.8668
33	3.4555	2.8601
34	3.4463	2.8522
35	3.434	2.8402
36	3.415	2.8191
37	3.3864	2.7816
38	3.3291	2.7102
39	3.2403	2.5993
40	3.0675	2.3566
41	2.8724	2.0908
42	2.7134	1.8835
43	2.607	1.7492
44	2.5519	1.6976
45	2.5143	1.6564
46	2.4966	1.6411
47	2.4728	1.6167
48	2.4453	1.6031
49	2.4074	1.5772
50	2.3823	1.5571
51	2.3675	1.5433
52	2.3576	1.536
53	2.348	1.5297
54	2.3243	1.5151
55	2.3055	1.4889
56	2.2956	1.49
57	2.2831	1.4715
58	2.2699	1.4631
59	2.255	1.4474
60	2.254	1.4594
61	2.2326	1.4235
62	2.2228	1.4088
63	2.2106	1.4013
64	2.208	1.3954
65	2.1965	1.3986
66	2.1472	1.3597
67	2.1158	1.3622
68	2.1402	1.4157
69	2.0675	1.3115
70	2.065	1.309
71	2.0162	1.2793
72	2.0175	1.3073
73	1.9716	1.2637
74	1.9577	1.2579
75	1.9384	1.2435
76	1.8956	1.1943
77	1.8864	1.1838
78	1.8769	1.1712
79	1.8556	1.1734
80	1.8365	1.1458
81	1.8138	1.1293
82	1.8156	1.1554
83	1.7771	1.1028
84	1.7744	1.1056
85	1.7671	1.0954
86	1.7351	1.0798
87	1.73	1.076
88	1.764	1.114
89	1.7172	1.0652
90	1.7184	1.0662
91	1.6842	1.0478
92	1.7312	1.12
93	1.6746	1.0404
94	1.7025	1.0657
95	1.6645	1.031
96	1.6753	1.0412
97	1.6308	1.0079
98	1.6643	1.0647
99	1.6385	1.0279
100	1.6226	1.0219
101	1.6083	0.9993
102	1.5974	0.9922
103	1.5975	0.9975
104	1.5852	0.9794
105	1.5747	0.9723
106	1.6019	1.0125
107	1.5698	0.9764
108	1.5657	0.9767
109	1.5608	0.9618
110	1.5966	1.0012
111	1.5535	0.9613
112	1.5379	0.9428
113	1.5464	0.9499
114	1.5399	0.9497
115	1.5452	0.9538
116	1.5181	0.9369
117	1.5359	0.9559
118	1.4989	0.9178
