epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	5.942	4.8015	5.9748	4.7775	5.965	4.8245
1	4.4678	3.3783	4.4725	3.2532	4.7491	3.4932
2	4.187	3.1872	4.2053	3.0701	4.3789	3.267
3	3.8914	2.9935	3.9329	2.8877	3.9993	3.0314
4	3.569	2.8759	3.6522	2.798	3.6271	2.885
5	3.4873	2.9175	3.5907	2.8643	3.5165	2.9067
6	3.4747	2.9081	3.5836	2.8702	3.4877	2.8833
7	3.4497	2.8514	3.5531	2.8064	3.4684	2.8365
8	3.4363	2.8152	3.5375	2.7669	3.4558	2.8025
9	3.3921	2.8098	3.4928	2.7553	3.4102	2.7948
10	3.3298	2.7292	3.4322	2.6748	3.3488	2.7186
11	3.2939	2.597	3.4006	2.5423	3.3172	2.6055
12	3.2335	2.5855	3.3325	2.5381	3.2681	2.5919
13	3.1937	2.5773	3.2909	2.5313	3.2287	2.5844
14	3.2103	2.5941	3.3053	2.5541	3.2532	2.6095
15	3.0743	2.4479	3.1781	2.3988	3.12	2.4682
16	2.9733	2.2987	3.0871	2.2581	3.0117	2.3153
17	2.9241	2.1906	3.0507	2.167	2.9617	2.2197
18	2.8789	2.2019	2.9956	2.1784	2.9312	2.2431
19	2.7672	2.0352	2.9024	2.0159	2.8062	2.0698
20	2.6848	1.9465	2.818	1.9113	2.7189	1.9713
21	2.6281	1.8814	2.7602	1.8496	2.6709	1.915
22	2.5866	1.8458	2.7179	1.8136	2.6164	1.866
23	2.6671	1.854	2.8077	1.8247	2.69	1.8599
24	2.708	1.8856	2.8527	1.8671	2.7384	1.8925
25	2.5088	1.7466	2.6583	1.7232	2.5328	1.7681
26	2.491	1.6926	2.6448	1.6746	2.5174	1.7101
27	2.45	1.6759	2.6044	1.6411	2.4783	1.6946
28	2.4245	1.6456	2.5796	1.6245	2.4455	1.6556
29	2.3981	1.6209	2.5556	1.593	2.4131	1.6308
30	2.355	1.5871	2.5143	1.5541	2.374	1.5915
31	2.3253	1.5673	2.483	1.533	2.3469	1.5738
32	2.2992	1.5254	2.4621	1.4988	2.3098	1.5288
33	2.2839	1.5376	2.4606	1.5152	2.3111	1.5451
34	2.285	1.5413	2.4441	1.5092	2.2976	1.5631
35	2.1417	1.4215	2.329	1.3913	2.1724	1.4344
36	2.115	1.4177	2.3197	1.3991	2.1503	1.4501
37	2.0413	1.3399	2.2832	1.3345	2.0999	1.3733
38	1.9838	1.298	2.2177	1.2909	2.0292	1.3269
39	1.9345	1.2697	2.1887	1.267	1.9868	1.3019
40	2.225	1.5799	2.4164	1.5659	2.2481	1.5995
41	1.9519	1.3121	2.187	1.3037	2.0077	1.3592
42	1.9698	1.3116	2.2359	1.3221	2.0439	1.3438
43	2.0326	1.3675	2.2961	1.3887	2.1019	1.3977
44	2.2774	1.5803	2.5242	1.6178	2.3327	1.6109
45	1.9203	1.2815	2.1521	1.2703	1.971	1.3189
46	2.1464	1.4939	2.3495	1.4913	2.1812	1.5238
47	2.0446	1.3819	2.3011	1.4021	2.1163	1.4163
48	2.0815	1.42	2.3383	1.4443	2.1572	1.4559
49	1.8344	1.217	2.1135	1.23	1.9273	1.265
50	1.803	1.194	2.0901	1.2092	1.8936	1.2415
51	1.8043	1.2011	2.0916	1.2203	1.8948	1.2513
52	1.7848	1.1859	2.0747	1.1986	1.887	1.2455
53	1.7772	1.2057	2.0624	1.2228	1.8582	1.2487
54	1.7338	1.1567	2.0162	1.1665	1.8281	1.2089
55	1.7352	1.1679	2.0261	1.1902	1.8152	1.2102
56	1.7183	1.156	2.0202	1.1792	1.8249	1.2097
57	1.7039	1.1321	2.0036	1.1566	1.7953	1.1843
58	1.6835	1.1295	1.9761	1.1468	1.7861	1.1802
59	1.67	1.1141	1.9741	1.1377	1.7677	1.1617
60	1.7332	1.1915	1.9983	1.1987	1.8114	1.2328
61	1.6717	1.1112	1.9483	1.1249	1.7632	1.166
62	1.7142	1.1506	2.0153	1.183	1.8226	1.2156
63	1.6604	1.1183	1.9459	1.1354	1.7528	1.1705
64	1.631	1.0915	1.9266	1.1121	1.7252	1.139
65	1.6213	1.0867	1.9243	1.107	1.7287	1.1377
66	1.609	1.0758	1.9112	1.0987	1.7122	1.1322
67	1.6078	1.0758	1.9104	1.1035	1.7041	1.1277
68	1.607	1.0765	1.9067	1.1017	1.7053	1.1235
69	1.5987	1.0621	1.8901	1.0797	1.6852	1.109
70	1.618	1.1042	1.9099	1.1171	1.7036	1.1426
71	1.5937	1.0653	1.8895	1.0857	1.6858	1.1154
72	1.577	1.0598	1.8749	1.076	1.6709	1.1047
73	1.6639	1.1344	1.9568	1.1597	1.7568	1.1817
74	1.594	1.0842	1.8769	1.0951	1.6962	1.1343
75	1.6116	1.1054	1.9005	1.1156	1.6968	1.1398
76	1.576	1.0573	1.8646	1.0777	1.6597	1.1052
77	1.5637	1.0517	1.8561	1.0738	1.6601	1.1062
78	1.5514	1.0424	1.8484	1.0613	1.6515	1.0916
79	1.5656	1.0579	1.8457	1.067	1.6559	1.1056
80	1.5843	1.078	1.8732	1.0944	1.6787	1.1201
81	1.5601	1.059	1.8349	1.0621	1.6455	1.1026
82	1.621	1.1142	1.9065	1.135	1.7123	1.1568
83	1.5425	1.0455	1.8295	1.0537	1.6359	1.0893
84	1.523	1.027	1.8167	1.0399	1.6149	1.0674
85	1.542	1.0486	1.8302	1.0693	1.6317	1.0858
86	1.5891	1.0966	1.8589	1.0903	1.6766	1.1215
87	1.5082	1.0192	1.7954	1.0366	1.5984	1.0635
88	1.5057	1.0198	1.7918	1.0272	1.6025	1.061
89	1.5035	1.0181	1.7925	1.0268	1.601	1.055
90	1.5307	1.0515	1.8252	1.078	1.6258	1.0942
91	1.5728	1.0806	1.8581	1.1019	1.6664	1.1223
