epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	5.8804	5.2206	6.0351	5.4099	5.9999	5.3495
1	3.9882	3.1958	4.1026	3.3236	4.0272	3.2505
2	3.8441	3.0745	3.838	3.064	3.7693	3.0537
3	3.4082	2.7381	3.4928	2.8237	3.4301	2.7902
4	3.1097	2.5044	3.1376	2.5232	3.0669	2.5181
5	3.0513	2.514	3.0997	2.5383	3.0139	2.534
6	3.0114	2.4292	3.0328	2.4291	2.9407	2.4168
7	2.9383	2.3911	2.9741	2.4081	2.8848	2.3988
8	2.7992	2.2251	2.813	2.2257	2.7254	2.2205
9	2.6048	2.0224	2.6074	2.0204	2.5274	2.0151
10	2.4577	1.8833	2.4578	1.8723	2.3939	1.8609
11	2.4015	1.8309	2.3996	1.818	2.3559	1.807
12	2.3808	1.7889	2.3717	1.77	2.3353	1.7648
13	2.371	1.814	2.3715	1.8018	2.3296	1.7916
14	2.3585	1.7918	2.3579	1.7785	2.3115	1.7681
15	2.3469	1.7734	2.3488	1.7608	2.2984	1.7487
16	2.3355	1.7607	2.3415	1.7492	2.2876	1.7375
17	2.3224	1.7518	2.3312	1.7414	2.2755	1.7302
18	2.3281	1.709	2.3171	1.687	2.2655	1.6821
19	2.2922	1.743	2.3052	1.7364	2.2468	1.726
20	2.2637	1.698	2.2732	1.69	2.2111	1.6787
21	2.2331	1.6606	2.243	1.6517	2.1753	1.6409
22	2.1921	1.6279	2.2092	1.6248	2.1318	1.6076
23	2.1398	1.5979	2.1715	1.6063	2.084	1.5831
24	2.1019	1.5272	2.1271	1.5123	2.0276	1.4983
25	2.0795	1.579	2.1154	1.5947	2.03	1.5576
26	1.992	1.4571	1.9994	1.4364	1.9214	1.428
27	1.9521	1.4212	1.9501	1.3909	1.8781	1.3926
28	1.9132	1.4253	1.9136	1.4148	1.8518	1.4007
29	1.878	1.3789	1.8595	1.3472	1.8109	1.353
30	1.8288	1.3433	1.7986	1.305	1.7651	1.3144
31	1.7822	1.3152	1.7498	1.2809	1.7267	1.288
32	1.756	1.2907	1.7234	1.2522	1.6989	1.2645
33	1.7171	1.2775	1.6895	1.2477	1.6792	1.2575
34	1.6876	1.2534	1.6693	1.2211	1.6471	1.2366
35	1.6666	1.2475	1.658	1.2292	1.6407	1.2422
36	1.6281	1.2057	1.6095	1.1616	1.5958	1.1937
37	1.6226	1.201	1.6064	1.1577	1.5896	1.188
38	1.5831	1.1734	1.5802	1.1408	1.5581	1.1686
39	1.5548	1.1594	1.5648	1.142	1.5384	1.1606
40	1.5655	1.1626	1.5742	1.1411	1.5431	1.1563
41	1.5563	1.1769	1.5687	1.1723	1.5525	1.1817
42	1.5344	1.1374	1.5502	1.1195	1.5126	1.1326
43	1.5266	1.131	1.5435	1.1134	1.5064	1.1274
44	1.5263	1.1519	1.5547	1.1529	1.5285	1.1627
45	1.5221	1.1274	1.5395	1.1099	1.5018	1.1256
46	1.4992	1.1282	1.5395	1.1378	1.5045	1.1436
47	1.4672	1.0921	1.5019	1.0903	1.4569	1.0948
48	1.4703	1.0877	1.5097	1.084	1.4539	1.0885
49	1.5014	1.1344	1.5427	1.1443	1.5108	1.1451
50	1.4438	1.0791	1.4932	1.0878	1.4502	1.0909
51	1.4447	1.0635	1.4974	1.0693	1.4353	1.067
52	1.4227	1.0545	1.4746	1.0589	1.4208	1.0608
53	1.4455	1.0866	1.5027	1.1065	1.4598	1.0985
54	1.4186	1.0475	1.4702	1.0543	1.4122	1.0512
55	1.4412	1.0602	1.502	1.0638	1.4299	1.0595
56	1.4418	1.0829	1.5003	1.1094	1.4589	1.097
57	1.4266	1.0485	1.4772	1.0534	1.4121	1.051
58	1.4148	1.0555	1.487	1.0823	1.4389	1.0727
59	1.3829	1.0225	1.447	1.0403	1.3966	1.0337
60	1.3904	1.0218	1.4504	1.0315	1.3884	1.027
61	1.3854	1.0245	1.4601	1.0492	1.4083	1.0395
62	1.3659	1.0029	1.4404	1.0257	1.3804	1.0139
63	1.3607	1.0	1.4372	1.0232	1.3773	1.0111
64	1.3852	1.0139	1.4569	1.027	1.3819	1.0168
65	1.3869	1.0358	1.4617	1.0729	1.4177	1.0548
66	1.3869	1.0145	1.4567	1.0271	1.383	1.0136
67	1.3638	1.0066	1.4398	1.0396	1.3874	1.0225
68	1.3503	0.9836	1.4254	1.0046	1.3618	0.9907
69	1.3736	1.0187	1.4549	1.0533	1.4117	1.0416
70	1.3586	0.9911	1.4346	1.0112	1.3634	0.9968
71	1.3347	0.9713	1.4183	1.0007	1.3493	0.9795
72	1.3308	0.9727	1.4138	1.005	1.3537	0.9877
73	1.4013	1.0283	1.4717	1.0402	1.3996	1.0258
74	1.3291	0.9725	1.4131	1.0077	1.359	0.9897
75	1.3559	1.0032	1.4414	1.0449	1.394	1.0252
