epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	6.8288	6.229	6.9825	6.4016	6.9579	6.3651
1	5.5782	4.8867	5.7314	5.0739	5.6905	5.0099
2	4.1841	3.367	4.1416	3.3149	4.0817	3.3146
3	3.2262	2.5818	3.2239	2.5663	3.1629	2.5585
4	3.1403	2.6176	3.224	2.6868	3.1455	2.6747
5	3.0734	2.463	3.088	2.4494	3.0044	2.4456
6	3.0156	2.4664	3.0611	2.4887	2.9748	2.4825
7	2.9653	2.4206	3.0094	2.4444	2.9227	2.4377
8	2.8578	2.2799	2.8698	2.2726	2.7843	2.2714
9	2.666	2.1098	2.6758	2.1084	2.6014	2.1079
10	2.4718	1.8792	2.4446	1.8523	2.3954	1.8514
11	2.4119	1.8528	2.3889	1.8303	2.3671	1.8346
12	2.3994	1.8218	2.3724	1.7907	2.3486	1.7856
13	2.3767	1.803	2.3636	1.7783	2.3234	1.7669
14	2.359	1.7656	2.3588	1.7438	2.3008	1.7295
15	2.3495	1.7586	2.3589	1.7394	2.2917	1.7258
16	2.3422	1.7843	2.364	1.7741	2.2942	1.7571
17	2.3211	1.7491	2.3295	1.7307	2.2662	1.7204
18	2.3053	1.7225	2.3038	1.702	2.2453	1.6932
19	2.2923	1.7452	2.3047	1.734	2.2405	1.7218
20	2.2638	1.7049	2.2716	1.6935	2.207	1.6829
21	2.2382	1.6619	2.2467	1.6503	2.1758	1.6388
22	2.2059	1.6455	2.222	1.6408	2.1434	1.6255
23	2.1725	1.6027	2.1868	1.5955	2.1033	1.5795
24	2.1342	1.5793	2.1516	1.5749	2.0657	1.5601
25	2.1183	1.5375	2.1237	1.517	2.0405	1.5103
26	2.0946	1.5206	2.0935	1.5002	2.0189	1.4965
27	2.0716	1.5016	2.0603	1.4764	1.996	1.4725
28	2.0772	1.4958	2.0563	1.468	1.9997	1.4678
29	2.0397	1.4731	2.0215	1.4493	1.9659	1.4455
30	2.0137	1.4515	1.9947	1.4212	1.9416	1.4258
31	1.9744	1.4282	1.9582	1.4017	1.9073	1.4031
32	1.9393	1.4059	1.9224	1.3798	1.8756	1.3813
33	1.9245	1.4291	1.9208	1.4195	1.8744	1.4096
34	1.8838	1.3942	1.8729	1.382	1.8345	1.3762
35	1.8487	1.3657	1.8287	1.3476	1.7961	1.3439
36	1.7968	1.3213	1.7662	1.2881	1.7435	1.3061
37	1.7439	1.2823	1.6959	1.2392	1.6896	1.2609
38	1.7258	1.2798	1.6852	1.2495	1.6745	1.2536
39	1.6796	1.2453	1.6323	1.2067	1.6317	1.2209
40	1.6491	1.2249	1.6129	1.1897	1.6055	1.2061
41	1.6347	1.2074	1.5992	1.1648	1.5887	1.1879
42	1.6185	1.2114	1.5968	1.1911	1.586	1.1962
43	1.5806	1.1752	1.5543	1.1363	1.5459	1.1647
44	1.5561	1.1591	1.5442	1.131	1.5279	1.1529
45	1.5402	1.1511	1.5389	1.1314	1.5184	1.1445
46	1.5348	1.1408	1.5365	1.1192	1.5022	1.1318
47	1.5308	1.136	1.5256	1.1059	1.4999	1.1297
48	1.4916	1.1051	1.5059	1.09	1.4707	1.1024
49	1.4899	1.1094	1.5044	1.1011	1.4711	1.1045
50	1.4704	1.0913	1.4852	1.0803	1.448	1.0857
51	1.5073	1.1121	1.5271	1.0962	1.4724	1.1061
52	1.4631	1.0849	1.4848	1.0838	1.4411	1.0809
53	1.474	1.0834	1.4967	1.0645	1.4409	1.0759
54	1.4429	1.0627	1.4708	1.0555	1.4252	1.0598
55	1.4367	1.0523	1.4706	1.0465	1.4139	1.0502
56	1.4585	1.0689	1.4886	1.0554	1.4291	1.0653
57	1.473	1.1036	1.5051	1.115	1.4702	1.1016
58	1.4065	1.0309	1.4455	1.0304	1.3969	1.0309
59	1.4038	1.0289	1.448	1.0308	1.404	1.0351
60	1.4022	1.0253	1.4411	1.0249	1.3896	1.0281
61	1.3898	1.0169	1.433	1.019	1.3855	1.0199
62	1.3952	1.0165	1.4426	1.019	1.3827	1.0208
63	1.3982	1.0313	1.4457	1.0474	1.4032	1.0386
64	1.4061	1.0271	1.452	1.0296	1.3924	1.0296
65	1.4048	1.0404	1.449	1.0588	1.4096	1.0466
66	1.3836	1.0077	1.4302	1.0049	1.3765	1.0136
67	1.3855	1.0201	1.4354	1.0372	1.3959	1.0307
68	1.3742	1.0016	1.4225	1.005	1.3691	1.0061
69	1.3594	0.9925	1.4174	1.0089	1.3666	1.0005
70	1.3566	0.9916	1.4093	1.0077	1.3654	0.9989
71	1.3441	0.9772	1.4051	0.994	1.355	0.9861
72	1.3478	0.9842	1.4039	1.0003	1.3634	0.9932
73	1.3525	0.9921	1.4092	1.0132	1.374	1.0062
74	1.3322	0.9634	1.3923	0.9777	1.3389	0.9724
75	1.3365	0.9691	1.3957	0.9826	1.3446	0.9794
76	1.3477	0.9801	1.4067	0.9893	1.354	0.9888
77	1.3202	0.9573	1.389	0.98	1.3386	0.9689
78	1.3157	0.9516	1.3801	0.9693	1.3273	0.9609
79	1.3183	0.9604	1.381	0.9836	1.3438	0.973
80	1.3113	0.948	1.3814	0.9703	1.3284	0.9588
81	1.3035	0.9434	1.3744	0.968	1.3287	0.9572
82	1.2998	0.9408	1.3686	0.9631	1.3235	0.9563
83	1.2983	0.9386	1.3604	0.9574	1.3172	0.9508
84	1.2939	0.9316	1.3622	0.9511	1.314	0.9425
85	1.3008	0.9449	1.3716	0.9773	1.3341	0.9646
